glycan,nontransfected_1,nontransfected_2,nontransfected_3,nontransfected_4,mocktransfected_1,mocktransfected_2,mocktransfected_3,mocktransfected_4,gagtransfected_1,gagtransfected_2,gagtransfected_3,gagtransfected_4
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.688541702,1.859688575,1.667441666,1.787443851,1.764010216,1.486652932,1.599165162,1.682623301,0.906125675,1.253184519,0.802861787,0.720907194
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.897572434,0.90257046,1.002121962,0.981820699,0.66013906,0.562845348,1.031412003,0.554461155,0.710838014,0.702214119,0.761935071,0.790162377
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.821391617,0.822983837,0.694707992,0.663741216,0.64623681,0.67283608,1.309589889,0.537627275,1.620555385,1.107606768,1.69311168,0.320555401
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.530679223,2.611692028,2.532805469,2.569891306,2.645082822,2.201726412,2.702904303,1.651023303,2.722819608,3.369090895,3.107419157,2.67403163
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.745382305,0.827541219,0.751265877,0.777465643,0.848335002,0.723187687,0.545279856,1.247995887,0.653260234,0.859229516,0.868400272,0.478443474
{Fuc(a1-3)}{GlcNAc(b1-?)}Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.10788395,0.958757663,0.788962366,0.934618213,1.8072258,1.420739484,1.087678763,0.13460083,1.151681442,1.177662572,1.545014002,0.371287784
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,2.371492518,2.281915307,2.05017915,2.895205093,2.595364206,2.461547907,2.697211796,2.296692576,2.040821144,2.178480386,2.295934062,1.230921924
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[GalOS(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.331052493,1.352770637,1.637085319,1.248739341,1.313554845,1.511948169,1.92419236,1.560813679,1.836891179,0.967045327,1.154363563,0.786594501
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,14.05203286,12.64505682,13.84532312,13.73863523,12.41568254,12.79447692,12.51934987,14.44116157,10.4546857,10.48094448,10.89767796,14.61207291
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,2.299900932,3.078938714,2.74146326,3.06867843,2.532837128,2.663353245,2.446283265,2.150910972,2.504645152,1.930432088,2.069989238,2.734388644
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,6.20594272,5.867988019,6.506795705,6.014430184,5.866975453,6.409931747,6.270128289,10.98765379,3.892828244,5.511478793,5.206016347,9.420474479
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.543087155,1.38114957,1.52911242,1.038027444,1.898833548,1.587303175,1.350640103,2.438906845,3.892828244,1.26650133,0.95202302,1.407136537
Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.844060318,0.991967183,1.045349979,0.872773399,1.38586933,0.888786421,0.952979014,0.215760512,0.771262868,1.012901176,0.749183011,0.411566052
Neu5Ac(a2-?)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,4.402060052,4.684802699,4.222179354,4.618457039,4.620426487,4.467357782,4.454406539,3.995387407,4.190407265,4.415473442,4.242427471,2.086361206
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.89963389,0.880867179,1.010333136,0.959231004,1.262628425,1.160400966,1.10325746,0.624266628,1.128529224,1.337604807,1.277935393,0.922458057
{Fuc(a1-3)}{GlcNAc(b1-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-?)]Man(a1-?)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.561194796,1.866899066,1.290341636,2.013251235,1.554036742,1.294031438,1.554727086,1.575610348,1.47333921,1.740220413,1.416848632,1.332150671
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.381354972,0.517683464,0.749648876,0.904787602,0.578891967,0.562593049,0.536386587,0.339230124,0,0,0.604137377,0.262588143
{Fuc(a1-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,7.714963635,8.446025964,8.106204697,9.476038053,6.540456673,6.813386955,6.678139052,5.697138325,6.174716398,6.932815055,5.936621365,6.653851023
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-?)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,7.016475987,6.727545991,7.507755949,6.864170347,6.984786424,7.574205051,7.430270057,6.501816518,7.999940323,7.205732442,6.94346531,5.790113702
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,3.646983374,3.576177725,3.379412778,3.150542987,3.340068991,3.841766053,3.706375808,2.734227205,2.258306365,1.969733088,2.292050652,3.223827846
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-?)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.764556511,1.922337908,1.906695692,1.458537858,1.877099241,1.949097229,2.037902749,1.845658194,1.180492386,1.630186298,1.534094653,2.127317724
Neu5Ac(a2-?)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.773293841,0.913767748,1.028689081,0.822482283,1.413488725,1.151623083,1.078028238,1.336891059,0.826327343,0.665918757,1.244153566,3.943648826
{GlcNAc(b1-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.447471577,1.416414509,0.768518778,1.83746169,1.600303227,0.940070624,1.531936355,1.350362248,1.765577915,0.736059012,1.327767029,0.785691576
{Fuc(a1-?)}{Neu5Ac(a2-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.031509945,1.089775961,1.082962435,1.386920346,0.920097337,0.782099798,0.871387763,1.085960707,0.456097435,0.824998054,0.556716375,1.221663938
{Fuc(a1-?)}{Neu5Ac(a2-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.133738243,0.399566163,0.343091174,0.25578228,0.320616824,0.254799623,0.217073792,1.254224484,0.442827951,0.477122701,0.501290402,0.489789137
{Fuc(a1-?)}{Neu5Ac(a2-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.767826582,1.744230525,1.607240251,1.489261111,1.024939549,1.115779713,1.471183716,1.942041458,0.909730522,1.07076077,0.862108231,1.785687966
{Fuc(a1-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-?)]Man(a1-?)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.836883309,1.135098288,1.302412602,1.48731398,0.993636461,1.068887977,0.648402601,0.188493079,0.733590514,0.502079586,0.808881318,0.243050894
{Fuc(a1-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.531195269,0.592022916,1.065017671,0.315355798,1.155925768,1.218529862,1.592205694,2.237669505,2.102027242,2.174030248,2.174492528,1.874067704
{Fuc(a1-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.636473658,2.276620501,2.042161556,1.732370115,1.194122898,1.958068691,1.60539952,1.306451489,1.466029009,2.012047234,1.587215255,1.214264337
{Fuc(a1-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.827413687,1.443626594,0.888876482,1.116358253,0.587876511,0.516961088,0.923256313,0.903475233,0.423213866,0.483348411,0.691825391,0.775635932
{Fuc(a1-?)}Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.523053439,0.403145887,0.417888723,0.514349669,0.579090817,0.574186602,0.496535966,0.452279143,0.500609861,0.243024962,0.719610669,0.598189006
