motif_name,motif,termini_spec
8DSGb5_2,Sia(a2-8)Sia(a2-6)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
66DSGb5,Sia(a2-6)Gal(b1-3)[Sia(a2-6)]GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal', 'flexible', 'flexible', 'flexible', 'flexible']"
Forssman_antigen,GalNAc(a1-3)GalNAc(b1-3)Gal,"['flexible', 'flexible', 'flexible']"
iGb3,Gal(a1-3)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal']"
I_antigen,Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible']"
i_antigen,Gal(b1-4)GlcNAc(b1-3)[!GlcNAc(b1-6)]Gal,"['flexible', 'flexible', 'flexible', 'flexible']"
PI_antigen,Gal(a1-4)Gal(a1-4)GlcNAc,"['flexible', 'flexible', 'flexible']"
Chitobiose,GlcNAc(b1-4)GlcNAc,"['flexible', 'flexible']"
Trimannosylcore,Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible']"
Internal_LacNAc_type1,Gal(b1-3)GlcNAc,"['internal', 'flexible']"
Terminal_LacNAc_type1,Gal(b1-3)GlcNAc,"['terminal', 'flexible']"
Internal_LacNAc_type2,Gal(b1-4)GlcNAc,"['internal', 'flexible']"
Terminal_LacNAc_type2,Gal(b1-4)GlcNAc,"['terminal', 'flexible']"
Internal_LacdiNAc_type1,GalNAc(b1-3)GlcNAc,"['internal', 'flexible']"
Terminal_LacdiNAc_type1,GalNAc(b1-3)GlcNAc,"['terminal', 'flexible']"
Internal_LacdiNAc_type2,GalNAc(b1-4)GlcNAc,"['internal', 'flexible']"
Terminal_LacdiNAc_type2,GalNAc(b1-4)GlcNAc,"['terminal', 'flexible']"
bisectingGlcNAc,GlcNAc(b1-4)Man(b1-4)GlcNAc,"['terminal', 'flexible', 'flexible']"
VIM,Sia(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal,"['flexible', 'flexible', 'flexible', 'flexible']"
PolyLacNAc,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc,"['flexible', 'flexible', 'flexible', 'flexible']"
Ganglio_Series,Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
Lacto_Series(LewisC),Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
NeoLacto_Series,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
betaGlucan,Glc(b1-3)Glc(b1-3)Glc,"['flexible', 'flexible', 'flexible']"
KeratanSulfate,Gal(b1-4)GlcNAc6S(b1-3)Gal(b1-4)GlcNAc6S,"['flexible', 'flexible', 'flexible', 'flexible']"
Hyaluronan,GlcA(b1-3)GlcNAc(b1-4)GlcA(b1-3)GlcNAc,"['flexible', 'flexible', 'flexible', 'flexible']"
Mollu_series,GlcNAc(b1-2)Man(a1-3)Man(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
Arthro_series,GalNAc(b1-4)GlcNAc(b1-3)Man(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
Cellulose_like,Glc(b1-4)Glc(b1-4)Glc(b1-4)Glc,"['flexible', 'flexible', 'flexible', 'flexible']"
Chondroitin_4S,GlcA(b1-3)GalNAc4S(b1-4)GlcA(b1-3)GalNAc4S,"['flexible', 'flexible', 'flexible', 'flexible']"
GPI_anchor,Man(a1-2)Man(a1-6)Man(a1-4)GlcN,"['flexible', 'flexible', 'flexible', 'terminal']"
Isoglobo_series,GalNAc(b1-3)Gal(a1-3)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
LewisD,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc,"['terminal', 'flexible', 'flexible', 'flexible', 'flexible']"
Globo_series,GalNAc(b1-3)Gal(b1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
Sda,Sia(a2-3)[GalNAc(b1-4)]Gal,"['terminal', 'terminal', 'flexible']"
SDA,Sia(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc(b1-3)Gal,"['terminal', 'terminal', 'flexible', 'flexible', 'flexible']"
Muco_series,Gal(b1-3)Gal(b1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
Heparin,IdoA(a1-4)GlcN2S6S(b1-4)IdoA2S(a1-4)GlcN2S6S,"['flexible', 'flexible', 'flexible', 'flexible']"
Peptidoglycan,MurNAc(b1-4)GlcNAc(b1-4)MurNAc(b1-4)GlcNAc,"['flexible', 'flexible', 'flexible', 'flexible']"
Dermatansulfate,D-IdoA(b1-3)GalNAc4S(b1-4)D-IdoA(b1-3)GalNAc4S,"['flexible', 'flexible', 'flexible', 'flexible']"
CAD,Sia(a2-3)[GalNAc(b1-4)]Gal(b1-3)[Sia(a2-6)]GalNAc,"['terminal', 'terminal', 'flexible', 'terminal', 'flexible']"
Lactosylceramide,Gal(b1-4)Glc1Cer,"['flexible','flexible']"
Lactotriaosylceramide,GlcNAc(b1-3)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal']"
LexLex,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc,"['terminal', 'terminal', 'flexible', 'flexible', 'terminal', 'flexible']"
GM3,Sia(a2-3)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal']"
H_type3,Fuc(a1-2)Gal(b1-3)GalNAc,"['terminal', 'flexible', 'flexible']"
GM2,Sia(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc1Cer,"['flexible', 'terminal', 'flexible', 'flexible']"
GM1,Sia(a2-3)[Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc1Cer,"['flexible', 'terminal', 'flexible', 'flexible', 'flexible']"
cisGM1,Sia(a2-3)Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
VIM2,Sia(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'flexible']"
GD3,Sia(a2-8)Sia(a2-3)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
GD1a,Sia(a2-3)Gal(b1-3)GalNAc(b1-4)[Sia(a2-3)]Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal', 'flexible', 'flexible']"
GD2,Sia(a2-8)Sia(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal', 'flexible', 'flexible']"
GD1b,Sia(a2-8)Sia(a2-3)[Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal', 'flexible', 'flexible', 'flexible']"
SDLex,Sia(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc,"['flexible', 'flexible', 'terminal', 'flexible', 'flexible', 'terminal', 'flexible']"
Fuc_LN3,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc,"['flexible', 'flexible', 'flexible', 'terminal', 'flexible', 'flexible', 'flexible']"
GT1b,Sia(a2-8)Sia(a2-3)[Sia(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal', 'flexible', 'flexible', 'flexible', 'terminal']"
GD1,Sia(a2-8)Sia(a2-3)Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
GD1a_2,Sia(a2-3)Gal(b1-3)[Sia(a2-6)]GalNAc(b1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal', 'flexible', 'flexible', 'terminal']"
LcGg4,GlcNAc(b1-3)[GalNAc(b1-4)]Gal(b1-4)Glc1Cer,"['flexible', 'terminal', 'flexible', 'terminal']"
GT3,Sia(a2-8)Sia(a2-8)Sia(a2-3)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
Disialyl_T_antigen,Sia(a2-3)Gal(b1-3)[Sia(a2-6)]GalNAc,"['flexible', 'flexible', 'flexible', 'flexible']"
GT1a,Sia(a2-8)Sia(a2-3)Gal(b1-4)GalNAc(b1-4)[Sia(a2-3)]Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'terminal', 'flexible', 'terminal']"
GT2,Sia(a2-8)Sia(a2-8)Sia(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal', 'flexible', 'terminal']"
GT1c,Sia(a2-8)Sia(a2-8)Sia(a2-3)[Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal', 'flexible', 'flexible', 'terminal']"
2Fuc_GM1,Sia(a2-3)[Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc1Cer,"['flexible', 'terminal', 'flexible', 'flexible', 'flexible', 'terminal']"
GQ1c,Sia(a2-8)Sia(a2-8)Sia(a2-3)[Sia(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal', 'flexible', 'flexible', 'flexible', 'terminal']"
O_linked_mannose,Sia(a2-3)Gal(b1-4)GlcNAc(b1-2)Man,"['flexible', 'flexible', 'flexible', 'terminal']"
GT1aa,Sia(a2-3)Gal(b1-3)[Sia(a2-6)]GalNAc(b1-4)[Sia(a2-3)]Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal', 'flexible', 'terminal', 'flexible', 'terminal']"
GQ1b,Sia(a2-8)Sia(a2-3)[Sia(a2-8)Sia(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal', 'flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
HNK1,GlcA3S(b1-3)Gal(b1-4)GlcNAc,"['flexible', 'flexible', 'flexible']"
GQ1ba,Sia(a2-8)Sia(a2-3)[Sia(a2-3)Gal(b1-3)[Sia(a2-6)]GalNAc(b1-4)]Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal', 'flexible', 'terminal', 'flexible', 'flexible', 'terminal']"
O_mannose_Lex,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man,"['terminal', 'terminal', 'flexible', 'terminal']"
2Fuc_GD1b,Sia(a2-8)Sia(a2-3)[Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal', 'flexible', 'flexible', 'flexible', 'terminal']"
Sialopentaosylceramide,Sia(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,"['flexible', 'terminal', 'flexible', 'flexible', 'flexible', 'terminal']"
Sulfogangliotetraosylceramide,GalOS(b1-3)GalNAc(b1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
B-GM1,Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GalNAc(b1-4)[Sia(a2-3)]Gal(b1-4)Glc1Cer,"['terminal', 'terminal', 'flexible', 'flexible', 'terminal', 'flexible', 'terminal']"
GQ1aa,Sia(a2-8)Sia(a2-3)Gal(b1-3)[Sia(a2-6)]GalNAc(b1-4)[Sia(a2-3)]Gal(b1-4)Glc1Cer,"['terminal', 'flexible', 'flexible', 'terminal', 'flexible', 'terminal', 'flexible', 'terminal']"
bisSulfo-Lewis x,Sia(a2-3)GalOS(b1-4)[Fuc(a1-3)]GlcNAcOS,"['terminal', 'flexible', 'terminal', 'flexible']"
para-Forssman,GalNAc(b1-3)GalNAc(b1-3)Gal,"['flexible', 'flexible', 'flexible']"
core_fucose,GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,"['flexible', 'flexible', 'flexible']"
core_fucose(a1-3),GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,"['flexible', 'flexible', 'flexible']"
GP1c,Sia(a2-8)Sia(a2-3)Gal(b1-3)GalNAc(b1-4)[Sia(a2-8)Sia(a2-8)Sia(a2-3)]Glc1Cer,"['terminal', 'flexible', 'flexible', 'flexible', 'terminal', 'flexible', 'flexible', 'terminal']"
