glycan,H7-01 Control,H7-02 Non inf control,H7-03 Non inf control,H7-04 Non inf control,H7-06 Infected vehicle,H7-08 Infected vehicle,H7-09 Infected vehicle,H7-10 Infected vehicle,H7-35 RaMH,H7-36 RaMH,H7-37 RaMH,H7-38 RaMH,H10-01 Non inf control,H10-02 Non inf control,H10-03 Non inf control,H10-04 Non inf control,H10-07 Infected control,H10-08 Infected control,H10-09 Infected control,H10-10 Infected control,H10-15 IL4,H10-17 IL4,H10-18 IL4,H10-19 IL4
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.064539114,0.409056949,0.382946138,0.181051931,0.05923342,0.079893486,0.378591715,0.377032256,0.045167696,0.696180745,0.317958123,0.088331673,0.040745943,0.158671593,0.401690044,0.363634275,0.390965556,0.225740485,0.122391479,0.386941329,0.640740249,0.345518754,0.127889931,0.095090335
{Man(a1-2)}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.160162321,0.401023609,0.259910634,0.155530251,0.157747887,0.195368058,0.176281278,0.20965069,0.218986497,0.182572288,0.358352102,0.191112551,0.10747604,0.835234041,0.226315137,0.356666,0.483125797,0.792641338,0.76705458,0.177568803,0.244056016,0.451926683,1.109382375,0.230052172
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0.016878428,0,0,0,0,0.058831552,0.016153832,0,0,0.055468683,0.098803477,0,0,0,0,0
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)GlcNAc(b1-6)]GalNAc,1.280166722,1.290937139,1.793393156,2.320343716,1.631840927,0.734593498,1.2940212,1.22096892,1.352376541,1.108760718,0.714542263,1.450271657,0.814462319,0.997397518,2.364656371,1.773322503,0.840080593,0.880709941,1.107357579,1.815713331,0.697749411,0.752522863,0.701394476,0.968204347
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,3.836310459,2.570459909,4.562719475,4.030719659,4.280781657,3.445187767,3.533371696,3.545009125,4.96352749,3.584587021,3.08240612,4.108165875,3.403095449,2.831286192,4.397900531,4.291248212,2.880790264,2.122615687,3.091221192,3.965549707,2.720208503,3.629952474,2.575112054,3.615130389
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0.298532812,0.034616872,0.368822482,0.039516424,0.020606591,0,0.025907854,0.028712843,0.036799997,0,0.021206843,0.015130522,0.089769596,0.437595679,0.022285242,0.020978844,0.111516253,0,0.340523398,0,0,0,0
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)]GalNAc,2.092961125,1.879862392,2.358345425,2.544572086,2.707223402,1.782024593,2.687060518,2.981388758,2.622140247,3.720426654,2.249715543,1.753477648,2.694116513,1.645234984,2.005513804,1.864152669,1.978770739,1.374471274,1.520633282,2.097576005,1.562498939,2.061805984,1.942782571,1.955606849
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[GalNAc(b1-4)GlcNAc(b1-6)]GalNAc,2.326916842,1.617022425,1.626001217,1.544847159,1.887694894,1.938414959,2.560454908,2.39656364,1.530213455,2.805802911,1.247150408,2.282238881,2.838341017,1.466454924,1.682022907,1.94132931,1.707088864,1.115732551,1.270080586,1.956710407,1.682403478,1.14955436,1.059105064,1.739599356
{HexNAc(?1-?)}Gal(b1-4)GlcNAc(b1-3/6)[Gal(b1-3/4)GlcNAc(b1-3/6)]Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.774008863,1.274354698,0.977737163,1.173693243,1.174013679,1.386278584,0.73571547,1.017954294,1.192680103,1.047275468,2.619764311,0.971188368,2.123834175,1.395216138,0.789183459,0.866697251,1.172041236,1.76687476,1.549502547,0.736359623,2.016760064,1.730744089,1.003168517,1.118792707
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.461580901,0.915483158,0.581902833,0.352631857,0.414181663,0.613687317,0.542459864,0.553883096,0.508244613,0.510501699,0.813238294,0.550621385,0.270620536,1.636683559,0.59618575,0.805273912,0.991205476,1.481580005,1.541849439,0.486932909,0.592774183,0.870983113,2.125780787,0.529434688
GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-3)[GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.576196707,0.709394388,0.626624216,0.745796977,0.765733,0.991426487,0.480458238,0.728001175,0.814304287,0.65443161,1.776790023,0.746765928,1.746004573,0.831596718,0.542128735,0.530864844,0.699641463,1.088321555,0.886285462,0.450756366,1.620900869,1.240230075,0.535425515,0.934524445
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)[HexNAc(?1-?)Gal(b1-3/4)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc6S(b1-6)]GalNAc,0.076433391,0.102790993,0.035733154,0.056380571,0.018745305,0.068498198,0.09740505,0.042921874,0.06220625,0.066908161,0.043805174,0.233780721,0.135981474,0.093245924,0.144419993,0.065514508,0.327372505,0.101136843,0.10216172,0.155486456,0.030142103,0.0069425,0,0.033182832
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0.004836365,0,0,0.135285165,0,0.008747812,0.007565448,0,0,0.003656059,0.008300495,0,0,0.019850714,0,0.189700152,0,0,0,0.155928831,0,0.079292956,0.256516868
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.05357077,0.047554388,0,0,0.521463837,0.060473012,0.042739756,0.032102957,0,0.044120114,0.040840445,0,0.036602242,0.031466653,0,0,0.543871098,0.024226424,0.024180488,0.707908158,0.863884144,1.021539025,0.428600535,1.317392742
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.793066005,0.703321255,0,0.965599009,0.040704782,1.040989328,0.920997917,0.039874791,0,0.079149221,0,0.042283831,0.036437554,0,0.907444198,0.028366185,0.021962022,0,0,0.819969009,0.004409551,0,0.229425569,0.018430197
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)]GalNAc,0.681825086,0.71541654,1.393967857,1.049045562,1.192197824,0,0.558500263,0.039587841,1.261741837,0,0.011050802,1.216506278,0,0.633700384,1.324557213,1.463506521,1.059211525,0.718111613,0.515153302,0.926950593,0,0,0.224459936,0
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3/6)[Gal(b1-3/4)GlcNAc(b1-3/6)]Gal(b1-3)[Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,1.869777845,1.833077638,2.128422758,2.255665782,2.205558955,1.398225503,2.342846494,2.518449788,2.312466649,2.634638789,1.687719679,1.701089311,2.118480343,1.295862123,1.764287957,1.656327666,1.758172453,1.154062811,1.374724772,1.841331528,1.28650602,1.682104447,1.544238949,1.549754958
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,3.032221807,2.675420789,3.542632998,3.608300593,3.487316389,3.169575339,3.278736338,3.391717648,3.928455091,3.990202198,2.9168465,3.230056207,3.605678389,2.505613432,3.41779875,3.223005877,2.964931624,2.141215422,2.566930201,3.317874863,2.064617809,3.068426968,2.505630766,2.722245701
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.431085453,0.403252189,0.435169983,0.480148853,0.479416331,0.368114573,0.481978823,0.550656012,0.53628438,0.495067701,0.325099141,0.406428097,0.33298392,0.279113824,0.473868144,0.3877929,0.47142506,0.282924321,0.282642997,0.489678235,0.348725181,0.388688051,0.361725573,0.419014819
HexNAc(?1-?)Gal(b1-3/4)GlcNAc(b1-3)[HexNAc(?1-?)Gal(b1-3/4)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc6S(b1-6)]GalNAc,0.06315988,0.077745414,0.013304544,0.009805241,0.003315153,0.018103201,0.0091061,0.009345261,0.037310462,0.01053433,0.01422323,0.194653237,0.048940124,0.038325191,0.108812862,0.031966438,0.234131809,0.025304172,0.02630855,0.054602644,0.087262573,0,0,0.043514134
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-3)[GalNAc(b1-4)]GlcNAc(b1-6)]GalNAc,0.807381291,0.019313521,0.561430071,0.521708282,0.510047837,0.708759554,0.864911487,0.733664055,0.449362464,0.774961635,0,0.03729341,0.650435437,0.469552271,0.034172229,0.769018024,0,0.006991675,0.491135202,0.630280426,0.022209926,0.032335738,0.211088515,0.444230993
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3/6)[Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3/6)]Gal(b1-3)[GalNAc(b1-4)GlcNAc(b1-6)]GalNAc,2.660576471,2.034283484,1.618801674,1.51559789,1.579248554,2.02724761,2.456508871,1.906729134,1.426577732,2.057247469,0.929745315,3.112961129,1.907084799,1.954349721,2.255237325,2.451727314,1.860694835,1.49332169,1.542599412,2.440419326,1.767015349,0.907646961,0.95157175,1.81280307
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[GalNAc(b1-4)GlcNAc(b1-6)]GalNAc,2.299427199,1.793699059,1.431351633,1.281678735,1.303047169,2.094192973,2.324654914,1.854686948,1.39510841,2.428473537,1.149850921,3.258496784,2.320952509,1.810739563,2.030425137,2.309033938,2.074895938,1.326433635,1.640220465,2.164179366,1.553159073,1.060956218,0.926204285,1.595816235
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)[HexNAc(?1-?)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.668551091,0.775601383,0.88288435,0.774596756,1.06968161,0.66099934,0.822011522,0.969995466,0.959247122,0.878327238,0.756314572,0.916889,1.135370967,0.552901934,0.871718739,0.65853769,0.669110588,0.495464414,0.480165917,0.878366532,0.734023682,0.749170368,0.525124068,0.756266621
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3/6)[GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-3/6)]Gal(b1-3)[GalNAc(b1-4)GlcNAc(b1-6)]GalNAc,0.159189746,0.123566885,0.122847203,0.103410652,0.136124729,0.153965315,0.179537046,0.162347821,0.113707121,0.1736604,0.103325552,0.198337988,0.280717948,0.088755968,0.149850902,0.158206424,0.104790373,0.073989326,0.090942064,0.147827335,0.157835009,0.093224368,0.026168994,0.154407319
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.579583112,1.089201567,0.677934165,0.452529999,0.564552634,0.822908207,0.704560798,0.706422664,0.668738731,0.698568502,1.091993429,0.74729678,0.372907391,1.932122649,0.804628464,1.17465317,1.158428912,1.972385404,1.863270173,0.635831628,0.774987831,1.02312362,2.516807839,0.692360285
GlcNAc(a1-4)Gal(b1-3/4)GlcNAc(b1-3/6)[Gal(b1-4)GlcNAc(b1-3/6)]Gal(b1-3)[GlcNAc(a1-4)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,1.080213787,1.984384656,1.647339942,2.255687733,1.891293738,2.650828586,0.827360217,1.569216363,2.195748597,1.390225714,5.698677199,1.433915834,2.714972131,2.37638178,1.334229205,1.37518956,2.037795657,2.956201431,2.731378808,1.046174619,3.946568462,3.722779091,1.755731253,2.010033098
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3/6)[Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3/6)]Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,2.049197607,2.43087294,2.925064943,0,0,2.491698484,2.425084948,2.276312128,2.140536174,0,2.382676427,0,1.671611124,3.37016054,2.741901379,0,1.667956864,2.190103836,2.559930888,0,0,0,0
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,7.979334616,6.746821002,8.430716449,8.686270167,7.674381814,8.68235049,8.637767718,6.982897244,8.176311371,6.36133312,4.862009464,8.646375437,6.003088439,5.316595232,8.708043408,6.775356067,6.635718517,4.513669538,5.521777829,7.814121975,4.935550006,5.957466959,4.805668236,7.171085401
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)[Gal(?1-?)Gal(b1-3/4)GlcNAc(b1-6)]Gal(b1-3)[Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.227886571,0.343129257,0.24456726,0.211122196,0.264398023,0.196053211,0.295023863,0.307365845,0.370652612,0.2910086,0.194355695,0.436665549,0.156213173,0.232302066,0.392726155,0.442078385,0.454423806,0.241716116,0.213552981,0.288147003,0.310877617,0.293847742,0.186546729,0.273891351
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3/6)[HexNAc(?1-?)Gal(b1-4)GlcNAc(b1-3/6)]Gal(b1-3)[Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.487300344,0.557666481,0.735101908,0.666603164,1.043580459,0.501899036,0.590150393,0.6534897,0.809278034,0.576930918,0.619244029,0.656270053,0.699834535,0.41211104,0.798637599,0.563994814,0.491770093,0.413205376,0.452612648,0.645946584,0.549019175,0.705485316,0.381813549,0.633031419
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-6)]Gal(b1-3)[Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,2.176825213,0,0,0,0,0,0,0,0.133637782,0,0,0,0.135701116,0.129714989,2.055747662,1.99975127,2.094878092,0.443209275,2.952343689
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0.047446385,0,0,0.033316903,0,0,0,0.026371221,0.009494561,0,0.598537579,0.586648773,0.233879294,0.81311294
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-6)]Gal(b1-3)[Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.061510817,0.119671629,0,0.055995478,0,0.074697773,0,0,0,0,0.06869659,0.078658019,0,0,0,0.090122855,0,0.074305753,0.037198935,0,0,0,0,0
GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-3/6)[GlcNAc(a1-4)Gal(b1-3/4)GlcNAc(b1-3/6)]Gal(b1-3)[GlcNAc(a1-4)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.684983928,1.105177337,1.052843473,1.44880296,1.167318901,1.681217319,0.44760824,1.020109528,1.447184391,0.798282033,3.696560682,0.837016881,1.708367358,1.50792606,0.908219043,0.761768991,1.145938649,1.82498735,1.717321702,0.59425237,2.494871169,2.605213918,1.055217074,1.36290756
{Fuc(a1-2/3/4)}{Neu5Ac(a2-3/6)}Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-3/6)[Gal(b1-3/4)GlcNAc(b1-3/6)]Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0.014364124,1.504581065,0.448446121,0.067724956,0.106902925,0.278792784,0,0,0.050111194,0,0,0.350012402,0.483747452,1.73216252,0.172710401,0,0.78043903,1.370269841,1.065223956,0.881461851,1.753058663
{Fuc(a1-2/3/4)}{Neu5Ac(a2-3/6)}Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-3/6)[Gal(b1-3/4)GlcNAc(b1-3/6)]Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0.089485718,0.10802234,0,0.548470455,0.171998622,0,0,0.080509327,0,0,0,0.001944001,0,0,0,0.639328219,0.025242677,0,0.29776884,0.490765607,0.383681378,0.092152108,0.60359928
Neu5Gc(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3)[Neu5Gc(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.464255998,0,0.631172887,0.22860986,0.484668192,0.382279169,0.441177269,0.51153136,0.644403956,0.500643271,0.756447692,0.619802415,0,2.075734509,0.336036639,0.922871376,0.855650036,2.047720792,2.31053746,0.641268799,0.669223634,0.788584865,3.248338169,0.549958099
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3/6)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3/6)]Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.34139697,0.100454082,0.18667569,0.18036265,0.273030588,0.14410228,0.105521957,0.096527261,0.19216314,0.200861407,0.09318744,0.094490411,0.24820633,0,0.093485145,0.102160653,0.222916695,0,0.008189253,0.192162094,0.243463075,0.291816525,0.027389432,0.346293041
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)]Gal(b1-3)[Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.137299572,0.125417473,0.212272781,0.172773952,0.290563136,0.171707208,0.161127803,0.136902753,0.184415391,0.198820793,0.105103802,0.172543069,0.15304313,0.017136433,0.172082414,0.152739057,0.235781045,0,0.016031916,0.199322319,0.257823333,0.351451302,0.040921912,0.383049022
Neu5Ac(a2-3/6)GalNAc(b1-3/4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3/6)GalNAc(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.510790284,0,0,0,0.476354254,0.644741371,0.562495168,0.527932788,0.48802635,0.615329014,0.520012548,0.559980814,0.002343341,0,0,0.688642351,0,0.310112086,0.395041578,0.551130985,0.600962132,0.464696667,0.391206967,0
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.005985093,0.01983973,0,0,0.414065954,0.122290219,0.017084575,0.016357399,0.008260938,0.0022986,0,0,0,0,0.002710854,0.020294214,0.615504989,0,0,0.28008248,0.483048706,0.275343627,0,0.581084194
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)]Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.218813412,0,0.189358994,0,0,0,0.213511125,0.165188584,0,0,0,0.226505925,0.279276801,0,0,0.119614766,0.018581246,0,0,0,0,0.16997293,0,0
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)]Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.005644453,0.024737774,0.018614956,0.036514313,0,0.068676906,0.057054197,0,0.084417844,0.115310278,0,0.042547977,0.210897024,0,0,0.010321235,0.071086433,0,0,0.064305309,0.068170736,0.093295404,0,0.140195325
