glycan,H7-01 Control,H7-02 Non inf control,H7-03 Non inf control,H7-04 Non inf control,H7-06 Infected vehicle,H7-08 Infected vehicle,H7-09 Infected vehicle,H7-10 Infected vehicle,H7-35 RaMH,H7-36 RaMH,H7-37 RaMH,H7-38 RaMH,H10-01 Non inf control,H10-02 Non inf control,H10-03 Non inf control,H10-04 Non inf control,H10-07 Infected control,H10-08 Infected control,H10-09 Infected control,H10-10 Infected control,H10-15 IL4,H10-17 IL4,H10-18 IL4,H10-19 IL4
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-3)GalNAc,0.325753481,0.305975507,0.316237096,0.390544959,0.439527608,0.36605705,0.191664108,0.356612991,0.416472196,0.69336046,1.209793845,0.164866236,0.356228439,0.70140594,0.260153051,0.413499881,0.315395088,0.585140478,0.603352173,0.250483069,0.498648533,0.553031647,0.839569234,0.353817464
GlcNAc(a1-4)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.09911773,0.193943908,0.190465227,0.123451882,0.154930395,0.125315873,0.087200883,0.134075198,0.178521405,0.154552479,0.347226115,0.103071488,0.166379686,0.491958993,0.114792605,0.184754026,0.171987608,0.322524272,0.341455786,0.110260988,0.200339501,0.328505172,0.897718069,0.1873302
Neu5Ac(a2-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0.027024197,0.091297079,0,0.155347215,0,0.018090434,0.023905066,0.055370145,0,0,0.027008252,0.048662775,0.03525135,0,0.044931237,0.035645039,0.031591543,0,0.033698514,0.099225601,0.073348032,0.099314137,0.102545325
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.058951862,0.062544598,0.060361847,0.069111774,0.062833593,0.071662235,0.053350703,0.049852257,0.060424207,0,0.096975307,0.035446952,0.048731721,0.053436431,0.057715651,0.066257978,0.063184785,0.045058126,0.057192456,0.063435017,0.041155709,0.043881876,0.152816794,0.042741159
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,5.198006759,4.454652445,4.500291212,4.757275995,4.389931596,4.133270025,5.333582279,4.425463938,4.135094368,4.42184658,2.700629517,4.1493818,3.626260887,2.837992824,5.484898556,4.403645463,4.110880376,2.718164491,3.041527163,4.990639665,3.004660104,3.208662462,2.931756613,3.930343359
Fuc(a1-2)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,4.503069493,4.375576324,3.743408531,4.044666627,3.852431846,3.577275268,4.618667134,4.53575918,3.80658611,4.293600495,2.724892816,3.631327734,3.422470315,2.815090215,3.953857229,3.531119088,3.808733603,2.858818181,3.042056764,3.825012441,2.869786295,3.023217394,3.208627284,3.448622288
Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.409584708,0.5448724,0.465702506,0.45346253,0.463060063,0.366820018,0.460743121,0.501558083,0.43591999,0.513356495,0.346993063,0.349861007,0.406075152,0.377411446,0.50154915,0.408038852,0.502459478,0.508059758,0.33753454,0.465552579,0.410552713,0.368563477,0.441037963,0.442099592
Fuc(a1-2)Gal(b1-3)[GalNAc(?1-4)GlcNAc(b1-6)]GalNAc,5.030802707,4.021614689,1.959579306,1.492476663,2.189126701,4.314011156,4.49323907,3.244068332,1.6901228,3.034515244,1.036774779,6.096820021,2.820548308,4.055335752,2.637689437,3.502955248,3.793713104,3.360545444,3.059468079,3.674710011,3.380818203,1.059159787,1.704827098,2.810356227
GlcNAc(a1-4)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,2.0683209,3.082807836,2.579259026,2.970977269,2.975754161,2.920942311,1.88384442,2.724653009,2.952369381,2.697396877,5.73408989,1.850712432,3.921565458,3.188559017,2.079026937,1.930144024,2.475100943,3.918664981,3.319773049,1.776459182,4.084295371,3.92609595,2.947996927,2.895184122
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.4966449,0.950896947,0.910772123,0.38371158,0.350042012,0.589507908,0.456326322,0.449380475,0.561739014,0.297839056,0.613814638,0.596965697,0.276040451,2.353238682,0.539272697,0.847222946,0.963537137,2.468554254,2.185596994,0.494362429,0.612903453,1.031411677,2.894002824,0.607520135
Neu5Ac(a2-3)Gal(b1-3)[Neu5Gc(a2-6)]GalNAc,0.371555918,0.778754349,0.677728197,0.289892238,0.291263853,0.485602819,0.380207003,0.398381514,0.446973352,0.232307761,0.469374287,0.408272493,0.248037288,1.910932601,0.411421665,0.726483822,0.810602841,2.020772163,1.955148909,0.394170853,0.51197322,0.837579521,2.487591317,0.532796028
Neu5Gc(a2-3)Gal(b1-3)[Neu5Gc(a2-6)]GalNAc,0.167087646,0.395392375,0.301923456,0.118889379,0.138125014,0.231954301,0.176527687,0.176738132,0.229092896,0.115014059,0.213795886,0.178196673,0.096207798,0.983662639,0.195917747,0.347087657,0.465928804,0.923585784,0.980575873,0.185295542,0.259148805,0.409166981,1.205695457,0.260400394
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.159619355,0.079499811,0.179398908,0.056369886,0.283590101,0.10532273,0.049118536,0.064575237,0.130149704,0.085192529,0.167065051,0.080230775,0.16244156,0.123746525,0.071535482,0.117266645,0.100617988,0.117014552,0.073109884,0.068753186,0.228804025,0.164035338,0.528933805,0.215651331
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.13201154,0.332098027,0.268906156,0.054071461,0.257746511,0.273425244,0.14955455,0.133242265,0.185621524,0.15842294,0.249506847,0.114054433,0.134413965,0.7111883,0.239372304,0.424422756,0.863738988,0.764258594,0.45780146,0.379324752,0.636556366,0.606231319,1.035096446,0.807677422
