glycan,M-High-IB,M-B,M-Low-IA,M-Low-IIIC,M-LMP-IA,M-High-IA,M-B2,M-Low-IA2,M-LMP-IA2,M-LMP-IA3,M-High-IIB,S-B,S-Low-IA,S-High-IA,S-LMP-IA,S-Low-IIIC,S-High-IIIC,S-High-IV,S-B2
Fuc(a1-2)Gal(b1-?)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Gal(b1-?)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.12,0.33,0.13,0.14,0,3.11
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-3)GalNAc,0,0.25,3.3,3.86,0,0,0.29,1.13,2.92,1.72,0,0,0,0,0,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)[Gal(a1-3)]Gal(b1-?)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,1.64,0,0,0.25,0,0,0,0.03,0,0,0.03,0,0,0,0.28,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-?)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.06,0.6,3.57,0.51,0.13,0,2.87,4.39,6.87,3.6,1.14,0,0,0,0,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)[Gal(b1-?)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)[Gal(a1-3)]Gal(b1-?)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.31,8.07,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)[Fuc(a1-?)[Gal(b1-?)]GlcNAc(b1-6)]GalNAc,0,0,6.35,4.17,0,0,3.53,5.39,8.62,4.33,0.35,0,0,0,0,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-?)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GlcNAc(b1-3)Gal(b1-?)GlcNAc(b1-6)[Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)]GalNAc,0,0,1.29,0,0,0.27,1.82,2.36,2.47,2.94,0,0,0,0,0,0,0,0,0
