glycan,C1,T1,C2,T2,C3,T3,C4,T4,C5,T5,C6,T6,C7,T7,C8,T8,C9,T9,C10,T10,C11,T11,C12,T12,ST4,ST7,ST6,ST11,ST12
Neu5Ac(a2-3)Gal6S(b1-3/4)GlcNAc(b1-3)GalNAc,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,2.93,0,0,0,0,0,0,0,0.52
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,27.65,53.8,28.38,3.21,29.03,3.21,33.99,48.98,27.33,27.56,26.57,33.86,27.92,55.45,36.48,48.25,34.58,57.42,20.68,36.66,16.45,19.32,24.87,30.9,57.32,43.68,47.31,22.46,20.67
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,1.98,0,3.48,18.57,0,0,6.26,1.05,5.39,0,4.54,0,0.75,0,4.23,0,4.12,0,4.49,2.96,1.84,0.53,1.69,1.54,0,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc6S(b1-3)Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)[GlcNAc6S(b1-6)]GalNAc,1.56,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,5.08,0,11.79,0.76,4.63,0,7.47,0,12.01,0,8.04,0,2.94,0,2.78,0,7.64,0,7.77,0,6.83,1.04,4.77,0,0,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,0,0,2.26,0.49,5.76,0.35,0,0,2.16,0,2.53,0.58,5.82,0,2.51,0,0,0,2.38,0,1.21,0,2.84,0,0,0,0,0,0
