glycan,nontransfected_1,nontransfected_2,nontransfected_3,nontransfected_4,mocktransfected_1,mocktransfected_2,mocktransfected_3,mocktransfected_4,gagtransfected_1,gagtransfected_2,gagtransfected_3,gagtransfected_4
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,1.026722679,0.699274521,0.65472533,0.534778036,0.779827186,0.981210682,0.870454756,0.961791347,0.66224254,0.816768259,0.758912362,0.853800308
Neu5Ac(a2-3)Gal(b1-3)GalNAc,6.608777285,6.070943487,4.989307538,5.208180704,6.614580381,5.721554882,5.620247478,8.72507273,5.339428749,5.52640572,6.182315418,6.148830672
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,1.634508333,1.022958824,1.013914035,1.175001725,1.455184516,1.413214575,0.795309025,3.959846451,0.861980313,0.938783707,0.981033531,0.961849287
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,38.55995797,38.69693842,41.85595236,37.6423483,40.9735451,42.57911644,41.79478656,45.4097311,47.97092514,42.93949133,42.57896793,47.80108808
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,6.70135622,6.467350379,7.244777965,5.372470438,6.385806697,5.589488078,5.902173202,4.355718497,5.069834499,5.586701524,6.257981926,5.634689559
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,2.943993754,3.603012473,3.587275373,2.946048418,2.825106879,2.598704111,2.602850147,2.233160277,2.128783402,2.736150875,3.172767506,2.287651889
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-?)[GlcNAc(b1-?)]GalNAc,0.62325369,0.794692777,0.796510347,0.61210847,0.662698654,0.66778735,0.747213558,1.256896482,1.037090746,0.686852076,0.710851764,0.780096027
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,34.92784786,34.18053812,32.93283248,39.22024298,33.03457899,33.4837348,35.31181119,26.65344324,31.27731356,34.8172357,33.69768044,30.9314838
Neu5Ac(a2-3)Gal(b1-4)GlcNAc6S(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,6.973582206,8.464291007,6.924704569,7.288820926,7.2686716,6.965189082,6.35515409,6.444339881,5.652401047,5.951610818,5.65948912,4.600510376
