glycan,NG_Control_1,NG_Control_2,NG_Control_3,NG_Control_4,NG_SSSMuG_1,NG_SSSMuG_2,NG_SSSMuG_3,NG_SSSMuG_4,NG_SSSMuG_5,NG_SSSMuG_6
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.218632755,0.234564277,0.32586841,0.406514242,0.530061672,0.58187307,0.490108671,0.246649736,0.271698032,0.269404544
Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.582650129,1.763214664,2.564766347,2.073358244,1.240524042,1.144874943,1.52730911,0.995408766,1.035116579,1.172081785
{Hex(?1-?)}GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.100519519,0.191368504,0.118437453,0.199032377,0.15884733,0.101320515,0.051984975,0.060352352,0.094034834,0.058538393
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.09345962,0.126013199,0.055166048,0.155846107,0.226288976,0.166921028,0.125560938,0.177968556,0.166543144,0.253481963
{Fuc(a1-2/3/6)}{GlcNAc(b1-4/6)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.30884258,0.295528523,0.264830114,0.381583038,0.312687888,0.272487228,0.414911695,0.249788868,0.344047767,0.391840723
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.102536633,0.08353225,0.10876065,0.058729155,0.051522679,0.078123274,0.108832988,0.068377393,0.105095423,0.074772165
{Fuc(a1-2/3/6)}{GlcNAc(b1-4/6)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.182885011,0.130710611,0.091474737,0.219999624,0.036787649,0.107508232,0.031947458,0.089667799,0.059247495,0.074547417
{Fuc(a1-2/3)}GalOS(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.402078076,0.31881135,0.7318806,0.522616462,0.386562737,0.355753539,0.566769061,0.448845306,0.324344853,0.312314258
GalOS(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.104217561,0.074188484,0.282364151,0.356338889,0.069024985,0.091007654,0.070176339,0.066301515,0.120734859,0.124130439
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.145904586,0.052284245,0.099166554,0.129037238,0.23414861,0.09139606,0.18977105,0.189385884,0.13159723,0.189618754
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.180083464,0.158231322,0.215867145,0.169719957,0.240139619,0.209833246,0.224240083,0.314368923,0.19229172,0.248883258
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.325203616,0.346485238,0.712857825,0.405262466,0.530946059,0.655589939,0.383211892,0.659572227,0.741911845,0.519480699
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.129319426,0.234360041,0.245641924,0.205917145,0.11732393,0.178733942,0.203909883,0.308571654,0.181746499,0.133137675
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.287887006,0.290575816,0.502449389,0.313987136,0.472547983,0.806505942,0.565508273,0.690482556,0.711921393,0.677237002
