glycan,stage1_A21,stage1_A22,stage1_A23,stage1_A24,stage1_A25,stage1_A26,stage1_A27,stage2_B21,stage2_B22,stage2_B23,stage2_B24,stage2_B25,stage2_B26,stage2_B27,stage3_C21,stage3_C22,stage3_C23,stage3_C24,stage3_C25,stage3_C26,stage3_C27,stage4_D21,stage4_D22,stage4_D23,stage4_D24,stage4_D25,stage4_D28,healthy_E21,healthy_E22,healthy_E23,healthy_E24,healthy_E25,healthy_E26,healthy_E27,healthy_E28
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.239573,0.247176,0.359676,0.267834,0.239332,0.561612,0.237332,0.222858,0.222692,0.195444,0.361961,0.146049,0.14157,0.218815,0.408552,0.367036,0.393757,0.256442,0.157442,0.289438,0.153686,0.391127,0.202519,0.197635,0.307666,0.234721,0.381479,0.263801,0.188742,0.294739,0.318366,0.33045,0.211158,0.197557,0.254893
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.148513,0.292275,0.415635,0.252097,0.605419,0.271274,0.236788,0.42048,0.361339,0.205838,0.24904,0.248407,0.11767,0.434075,0.677129,0.247708,0.216172,0.299549,0.411956,0.456396,0.160925,0.428178,0.290384,0.173285,0.0574274,0.336271,0.660018,0.496943,0.240561,0.591914,0.313951,0.370988,0.457062,0.251647,0.274197
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,3.32264,2.07051,1.19065,2.77583,1.08386,0.393522,0.601639,1.0969,1.88043,1.64803,2.25838,0.83795,3.88444,0.818392,0.991271,1.97052,1.63856,1.96225,1.50622,1.57338,4.70039,1.55085,2.55208,2.33436,3.51827,0.807404,0.942164,1.44699,2.84223,1.19769,1.16151,0.954429,1.07658,1.55071,0.899222
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.466106,0.235414,0.33549,0.367298,0.24372,0.176262,0.285703,0.259705,0.308516,0.305272,0.37737,0.233781,0.869397,0.209586,0.237768,0.33526,0.40247,0.343465,0.294939,0.297371,0.752697,0.468067,0.369198,0.626845,0.619551,0.186398,0.35923,0.315149,0.369766,0.112132,0.171263,0.157055,0.108199,0.209051,0.249226
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.551016,0.648878,0.637924,0.730312,0.665782,0.735612,0.711622,0.88133,0.594263,0.636274,0.50125,0.79504,0.577689,0.524299,0.855182,0.6138,0.506783,0.464443,0.613845,0.464865,0.414531,0.516293,0.623149,0.442989,0.448595,0.781494,0.524098,1.02567,0.558306,0.680897,0.750033,0.63882,0.573104,0.429786,0.717197
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.116836,0.22251,0.292948,0.237098,0.380786,0.2952,0.486669,0.203129,0.20031,0.240517,0.198186,0.435171,0.127136,0.23231,0.388035,0.236993,0.223044,0.23419,0.475784,0.23568,0.129252,0.336613,0.285346,0.138333,0.106359,0.170538,0.284288,0.277276,0.231117,0.235713,0.267879,0.228941,0.191695,0.278241,0.296908
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.167751,0.466679,0.570856,0.174455,0.414409,0.479635,0.327442,0.410511,0.341503,0.263044,0.580933,0.786921,0.37695,0.393267,0.673901,0.514425,0.698599,0.381203,0.383953,0.957132,0.260992,0.410161,0.544881,0.176934,0.582866,0.350716,0.407117,0.396281,0.569933,0.358087,0.289114,0.409866,0.884765,0.27364,0.852307
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.444239,0.525476,0.590455,0.628473,0.658426,0.820273,0.693971,0.513769,0.757182,0.705708,0.515935,0.720561,0.394119,0.497689,0.689697,0.746035,0.574052,0.418185,0.800796,0.363992,0.484195,0.743061,0.567575,0.459906,0.289134,0.662818,0.368854,0.835124,0.580304,0.673267,0.714351,0.521392,0.667188,0.65086,0.791549
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.632765,0.516054,0.328913,0.57562,0.560435,0.410424,0.216031,0.353226,0.586368,0.429525,0.674897,0.343862,0.775684,0.410464,0.557072,0.230082,0.303811,0.653113,0.475692,0.628037,0.76465,0.367945,0.619152,0.542169,0.521891,0.149565,0.336223,0.488113,0.742664,0.699987,0.420717,0.399983,0.422951,0.327208,0.322406
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.77564,2.76301,6.22603,3.48402,3.09327,2.18512,2.65292,3.02494,2.45869,2.36452,3.58506,3.94544,1.55968,3.62075,4.27591,3.59971,3.61989,3.12886,2.93356,4.22327,1.2839,3.18772,3.6843,1.86274,5.90192,2.45338,2.79563,3.64388,3.36693,3.12855,3.38169,3.31721,4.06104,3.39062,4.51831
