glycan,control_1,control_2,control_3,control_4,control_5,stage1_1,stage1_2,stage1_3,stage1_4,stage1_5,stage1_6,stage1_7,stage1_8,stage1_9,stage1_10,stage2_1,stage2_2,stage2_3,stage2_4,stage2_5,stage2_6,stage2_7,stage2_8,stage2_9,stage2_10,stage3_1,stage3_2,stage3_3,stage3_4,stage3_5,stage3_6,stage3_7,stage3_8,stage3_9,stage3_10,stage4_1,stage4_2,stage4_3,stage4_4,stage4_5,stage4_6,stage4_7,stage4_8,stage4_9,stage4_10,stage5_1,stage5_2,stage5_3,stage5_4,stage5_5,stage5_6,stage5_7,stage5_8,stage5_9,stage5_10
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,4.770700447,5.378565435,6.389396586,5.896158549,6.81256938,4.690211864,3.993183223,5.345314996,5.452043938,6.476612128,6.135854455,6.0733798,5.07989832,5.136996341,6.24298326,4.27590071,5.177881544,4.833580227,6.497865008,6.651137811,5.819169868,4.541295738,6.405162382,6.954022011,6.319556421,4.705886236,4.980320663,3.990319224,5.596598707,5.851540701,4.388405619,5.861305074,6.748535077,4.396717065,7.098504469,4.320127624,3.760382305,2.806113494,5.582352447,6.305798676,5.186900726,6.04168099,6.143534459,5.184541335,5.894382047,3.611745791,4.020493602,3.772177905,3.930004995,4.96463358,4.599168358,3.825522962,5.096841878,5.161054624,5.491343311
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.331085848,2.783731267,2.710388628,2.964707651,4.192240154,3.293325067,1.499704511,3.267237885,2.321288415,3.673445213,3.533880472,2.596977385,3.664443952,2.216925868,3.4350112,2.83475596,2.611251009,4.207101121,2.260823543,2.692563745,2.645066049,2.16662302,3.075472578,2.878015772,2.486724557,2.869838421,2.896041404,2.249750874,2.588496206,3.664571747,2.548225995,2.968586241,2.432857343,3.184875134,2.839118846,3.940523812,3.035141874,1.432386032,2.755582195,2.395917648,2.341107957,3.37394831,3.512003188,2.157862966,3.4006346,2.200786412,2.336583315,1.813249795,1.909997916,3.060175335,3.139922531,1.9070785,2.737795481,2.41309653,2.943330038
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.072356786,0.175265443,0.122341328,0.126749797,0.271074218,0.170617398,0.100645406,0.196937508,0.195391685,0.259380861,0.182617676,0.160801352,0.149568169,0.146832301,0.156672508,0.184842743,0.271178905,0.181437218,0.128464197,0.141515248,0.222094761,0.172460817,0.18543316,0.129017082,0.162350363,0.100194891,0.298491286,0.16502079,0.207190582,0.204109478,0.125225117,0.251961705,0.157213619,0.151496543,0.190159638,0.370325412,0.149935902,0.116625181,0.20632572,0.178803086,0.1731265,0.33416762,0.139539348,0.126302615,0.114631865,0.161790158,0.157209725,0.169709385,0.254999184,0.333759877,0.208031981,0.193359232,0.177573203,0.114645601,0.181724085
{Man(a1-2/3/6)}Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.146168179,0.171582882,0.146629963,0.071276115,0.196148141,0.172566981,0.06284041,0.219412046,0.14448719,0.245699972,0.231417364,0.154262295,0.274975926,0.253819267,0.253317606,0.167339133,0.237887975,0.345156203,0.099178649,0.13183253,0.143607368,0.185493166,0.236998091,0.198775512,0.235517432,0.176547526,0.269886688,0.146037885,0.261905115,0.219595525,0.335814156,0.225711172,0.313747347,0.200522836,0.130072374,0.211435883,0.165264943,0.109869663,0.275598445,0.386093496,0.14762392,0.282967574,0.193830731,0.108517095,0.167304743,0.175701126,0.133484788,0.072793973,0.106092334,0.282797707,0.150885746,0.093419481,0.148714832,0.141662401,0.205154587
{Man(a1-2/3/6)}Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.340305397,0.360184323,0.416301282,0.115150491,0.227874998,0.285359933,0.325941911,0.429132548,0.283361118,0.328998864,0.436814478,0.205996521,0.483997637,1.137056004,0.490803819,0.406154887,0.509320405,0.501770931,0.222510217,0.368733668,0.314566621,0.174391871,0.590496913,0.344321728,0.870180743,0.467442557,0.328186655,0.169444888,0.438907981,0.500760472,0.538854351,0.342725131,0.750817565,0.222081363,0.273738271,0.336760847,0.250029964,0.149611965,0.581054204,0.462418866,0.362173792,0.432487199,0.330783399,0.220371697,0.325006597,0.25796641,0.243850799,0.159082959,0.100758274,0.270530533,0.201655227,0.146712151,0.278301443,0.33839892,0.318640895
{Man(a1-2/3/6)}Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.114846354,0.131348083,0.168870331,0.159116323,0.167734528,0.148846549,0.093299507,0.147458083,0.152542425,0.162764334,0.159887156,0.160061828,0.123562438,0.139920573,0.170095863,0.135936193,0.156648288,0.138620846,0.165035792,0.167429152,0.157101674,0.138149557,0.181811501,0.182062259,0.196145903,0.128872593,0.144183933,0.109561668,0.126927324,0.173289537,0.117074767,0.161981525,0.164450565,0.117507221,0.206958812,0.126560522,0.101148801,0.075395727,0.139049809,0.162211234,0.141390185,0.147233599,0.182224205,0.12345839,0.166094002,0.094817563,0.116198004,0.102608824,0.094939742,0.117409613,0.101177909,0.090336274,0.108733407,0.117268809,0.163374663
{Man(a1-2)}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.306424954,0.426614216,0.436708776,0.344167842,0.580419459,0.469131693,0.227996927,0.430206911,0.367113436,0.477051396,0.637064002,0.447401943,0.455736178,0.384418509,0.520603669,0.417313261,0.367075403,0.480514705,0.29897524,0.338407961,0.430374922,0.312605965,0.477892208,0.430102462,0.443725326,0.403861037,0.422100217,0.316107244,0.443168489,0.460352763,0.384560535,0.440022779,0.312713497,0.44706131,0.423607366,0.4458574,0.398611202,0.271067612,0.527272256,0.408093305,0.322279955,0.45023584,0.575267447,0.342457607,0.46514604,0.358854046,0.331658271,0.364916292,0.310808281,0.377918064,0.561852568,0.296475165,0.379366807,0.303129309,0.414552791
{Man(a1-2)}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.583801286,0.726326356,0.657605718,0.864981763,0.987555214,0.950123096,0.535974764,0.91373098,0.79122913,0.954406181,0.852575913,0.863716483,0.917262666,0.759622396,0.971646794,0.758264819,0.891353809,1.132096998,0.758437242,0.723728589,0.762577158,0.625837128,0.916183963,0.839505823,0.83949755,0.716091861,0.792026118,0.504854888,0.658016732,0.852238099,0.727136795,0.866875754,0.706845749,0.723946774,0.817693415,1.277481488,0.569218238,0.525341712,0.951440443,0.737514065,0.687218677,0.812788204,0.944987237,0.658779343,0.867262803,0.708764309,0.717579083,0.589378946,0.674857637,1.138045329,0.995523639,0.60784268,0.679649908,0.644942272,0.796292028
Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.883708239,0.968051056,1.058596808,1.295076739,1.605602357,1.077248473,0.662456322,1.103150985,0.912491963,1.240858624,1.059327442,1.039381356,1.065897535,0.967730353,1.304964538,1.042768907,0.888438266,1.171717666,0.871061417,0.91480864,0.982195524,0.76719637,1.082178655,1.001581173,0.931309206,0.943090561,1.145638968,0.706375249,0.841466109,1.067470164,0.910790393,1.065757917,0.779344958,1.05060126,0.980562468,1.275202097,0.896190472,0.861450428,1.276888061,0.942245861,0.929606716,1.194875518,1.377388868,0.938386474,1.223320144,0.820812312,1.047983195,0.794022633,0.864736705,0.926688424,1.102598118,0.816372073,0.922111296,0.728411037,1.082915879
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.335668913,0.330038346,0.345213385,0.486470241,0.762885729,0.473358324,0.218660095,0.451541268,0.342387429,0.506261917,0.394741003,0.365994439,0.43286678,0.363972964,0.458003875,0.586757002,0.342705526,0.524032819,0.31587221,0.26436549,0.323362939,0.379110878,0.449633317,0.351398127,0.390315196,0.421740028,0.600513903,0.319368709,0.365987322,0.445435507,0.409486886,0.471218515,0.234366188,0.376637465,0.330409727,0.619601316,0.528096474,0.309338355,0.485723887,0.400417464,0.312542324,0.508258198,0.60139838,0.372773719,0.586983917,0.44598664,0.464233819,0.41129522,0.331415689,0.451152313,0.400678165,0.344556932,0.382161701,0.34696664,0.590459691
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.024880745,0.036522873,0.040798324,0.039273487,0.023000218,0.035426344,0.009675316,0.039997894,0.044644787,0.062875575,0.052946193,0.032717703,0.030468446,0.029387599,0.04193099,0.034657634,0.024465406,0.06306623,0.030131005,0.022123292,0.025429199,0.021540081,0.03664622,0.028597153,0.015483335,0.040097171,0.044248534,0.033363102,0.043079512,0.039932763,0.026853102,0.026187771,0.04309948,0.035203568,0.030217805,0.055189382,0.053986684,0.034748069,0.042982858,0.026443888,0.04468566,0.053025597,0.03758816,0.024677295,0.039549716,0.029248293,0.020388914,0.024164282,0.035832755,0.040572002,0.04842721,0.022676563,0.007055367,0.027265362,0.022872432
Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.029932195,0.034517158,0.044445176,0.033218223,0.068300503,0.033650734,0.013341536,0.035060381,0.02590346,0.036589049,0.036475127,0.033328698,0.043748667,0.031524635,0.033393022,0.042516222,0.017762701,0.04639859,0.013485452,0.029704517,0.031535661,0.033247616,0.038688535,0.022309425,0.027888997,0.034413875,0.034471332,0.031701197,0.031146203,0.039352329,0.027588445,0.032687591,0.023488311,0.029376754,0.031228606,0.032022781,0.039869797,0.030669587,0.020027649,0.034568326,0.031444857,0.054323737,0.046162482,0.024761568,0.040123613,0.024570336,0.04238752,0.026444456,0.025262296,0.026729627,0.026496106,0.025605554,0.039834766,0.029707066,0.026080177
