glycan,AML193,EOL1,HEL ,HEL 92.1.7,HL60,Kasumi1 ,KG1,KG1a,M07e,ME1,ML1 ,Molm13,MV4-11,NB-4 ,OCI-AML3 ,PLB985,THP1,U937,TF-1 
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.90,0.00,0.00,1.94,0.00,7.13,3.22,0.46,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fuc(a1-2)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Neu5Ac(a2-6)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[HexNAc(?1-?)]Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Neu5Ac(a2-3)GalNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)[HexNAc(?1-?)]Gal(b1-4)Glc1Cer,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,2.19,0.35,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.88,0.60,0.70,0.61,0.00,0.00,5.97,0.00,0.57,0.00
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.77,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,1.32,0.86,0.37,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.00,0.42,0.00,1.37,0.00,0.00,0.00
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0.00,0.00,1.07,0.00,0.40,0.00,0.00,0.00,0.00,0.58,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.48
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0.00,0.00,2.94,1.86,0.00,5.48,0.00,0.00,0.00,0.00,1.01,0.00,0.00,4.38,1.04,0.00,4.41,0.97,4.78
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,1.54,7.31,4.31,0.00,0.00,0.00,0.00,0.00,0.91,1.67,0.47,0.00,0.00,1.03,0.00,0.00,0.00,0.00
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,3.63,0.00,0.00,0.00,0.00,1.21,0.00,1.59,3.38,0.00,0.00,0.00,0.00,0.00,0.00
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,2.31,5.75,2.89,2.15,13.39,8.13,0.75,0.00,0.00,5.14,2.15,13.23,8.59,0.00,3.90,3.79,11.19,0.00,0.00
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.15,0.86,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,19.43,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,1.34,0.34,0.00,0.00,0.00,0.00,0.51,3.93,0.00
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,1.63,0.00,0.00,0.00,0.00,0.64,0.00,0.45,0.69,0.00,0.00,3.93,0.63,0.00,0.00
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,1.09,0.00,0.00,0.00,0.00,0.62,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,2.95,0.00,0.00,0.00,1.55,0.00,0.00,0.00,0.00,0.00,0.39,0.55,0.46,0.00,0.00,8.01,0.00,0.00,0.00
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.85,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,1.80,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,1.28,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.77,1.14,0.68,1.06,0.00,0.00,0.00,0.00,0.00,0.00
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,10.91,3.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.73,0.00,0.00,3.97,2.40,0.00,0.00,0.00,1.13,0.00,3.43,2.26,0.00,0.00,0.00,3.11,0.00,0.00
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.29,0.00,0.00,0.00
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.36,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
