glycan,healthy_1A,healthy_2A,healthy_3A,healthy_4A,healthy_5A,healthy_6A,cancer_1B,cancer_2B,cancer_3B,cancer_4B,cancer_5B,cancer_6B
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0.0854812440027907,0.3116233473027652,0.07819684068164168,0.320436101081749,0.13719197975048467,0.3328127042202218,21.906450536782412,0.09191105813411904,0.14722933460623383,1.6223444105916407,0.06443717232149315,0.15351286304979075
Neu5Ac(a2-?)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.19228060659319293,0.5264695981078891,0.16085550118689043,0.2208484902035953,0.023822623095899317,0.5335778706712547,0.4835794629417326,0.2290788720121734,0.15113081148680504,1.3443418660591318,0.08616584246137868,0.3404534336784063
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.6196146563265814,0.3287459197337661,2.350586292892933,0.06136152883939641,0.05314400481900283,0.3661224280018871,0.056783371729572873,4.347643815637252,11.007594071021096,2.425166388673435,0.06927779760985317,0.39102092488308593
Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,3.8829971898608577,0.0,0.0,0.0,0.0,0.0,0.48452084035885545,0.0,0.0,0.0,0.0,0.0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,4.711494569906114,0.0,5.206155828814872,0.0,5.131665879842023,4.82946741312206,1.3080238136124425,0.0,3.4965822781406386,0.0,7.191552380615307,2.4796453309830495
Gal(b1-?)GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-?)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,1.572938592955355,0.521155020832442,0.9496874383140449,0.3068178497521944,0.6189521718666391,0.8193904748039812,0.6915894546242612,0.84689102465083,1.132962874960486,0.1682872290666664,0.706677604594846,0.5983931965408849
Gal(b1-?)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.627109803159661,1.3738388492375708,0.43789808731687296,1.2803842646028847,0.28406081572581166,1.394582868866339,0.11414108558785827,1.131771070528746,0.4627299110134532,0.20019261222416926,1.2178318512797326,0.5614545374840603
Gal(b1-?)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.4810319310119071,0.5654263586443714,0.08616584246137868,0.060066334587539405,0.01942630620397741,0.5251726927756859,0.04658853346709857,0.16290569875870867,0.0658822815375045,0.01590442052227195,0.027732084611314795,0.10592069720769173
Gal(b1-?)GlcNAc(b1-3)Gal(b1-3)[GlcNAc(?1-?)Gal(b1-?)GlcNAc(b1-6)]GalNAc,1.5499090320842102,0.3151451800405687,0.9152897459662698,0.6350214276467943,3.2968001812854997,0.622603398863415,0.6603262769401819,1.0691762910361555,2.039784316286545,0.46911495762884103,3.629323003230736,1.6843087286027743
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0.43789808731687296,0.31058208896991313,0.18248799749157066,0.5205831792990618,0.7118952489356748,0.6504123968558,2.578921575660571,0.7287050779069827,0.3242286549229504,14.868903891882558,0.4532227103123717,5.552752880903003
Fuc(a1-?)[Gal(b1-?)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-?)[Gal(b1-?)]GlcNAc(b1-6)]GalNAc,1.9409858791567913,0.36978592394393683,0.3581418867145334,0.2528580258285269,0.35123211334433735,0.3962494060797448,0.3032737929761131,0.16460619028529447,0.3112444027266088,0.044677168324772226,0.17314924220891828,0.14104603938084256
Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)]GalNAc,1.2980412960213001,0.0,0.0,0.0,0.0,0.0,0.08155156627731355,0.0,0.0,0.0,0.0,0.0
Fuc(a1-2)Gal(b1-?)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-2)Gal(b1-?)GlcNAc(b1-6)]GalNAc,0.8736435697988864,2.978789522979673,1.0291717388593329,2.1229515643150774,0.2423733876264524,2.813063824396614,0.3665519403909798,1.4480322355484256,0.39453837789441304,0.369137338834597,0.4973102948121373,0.1361565523917717
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)]GalNAc,1.4068152260238789,0.0,0.9528584814440827,0.0,1.2798440334645296,0.7431405951147712,0.689041780287168,0.0,1.2786054784262204,0.0,1.4492803049756027,1.3215429963298218
Fuc(a1-?)[Gal(b1-?)]GlcNAc(b1-3)Gal(b1-3)[GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-6)]GalNAc,1.9142807393134027,0.8042739083117834,1.6202834055304343,0.5760829753919817,1.3078617182113927,1.3482048580437787,0.91456528933552,0.9165997533568507,2.097404451631362,0.5593256931185149,1.4067805307205516,1.1308638023541473
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,1.0109896165794894,0.27792010796187905,0.10945946985813979,0.23868814856347662,1.967616551094837,0.31792658672130614,4.3507172005292265,0.3177341687248778,0.6561361470777293,8.121290607735984,1.5314734100581284,1.721880971879355
Gal(b1-?)GlcNAc(b1-3)[Gal(b1-?)GlcNAc(b1-6)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.14957437948315705,0.09760594215489915,0.05947771336421703,0.0739802698038288,0.20669027151623084,0.12766695553309035,0.017111623075443935,0.21586390484234716,0.12115664858298825,0.18209799536634289,0.052229913288041996,1.1090659760653234
GlcNAc(a1-4)Gal(b1-?)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(a1-4)Gal(b1-3)]GalNAc,0.9296034757588437,0.25645113342624426,0.6267750338103236,0.15147800129956088,1.1510365553930375,0.6123607787355013,0.13216673827931316,0.6128530301265196,1.2830885945890622,0.13572193636510071,0.9815086566890007,0.2486582933528729
