motif,pred
GlcNAcOPCho(b1-2)[GlcNAcOPCho(b1-4)]Man(a1-3)[GlcNAcOPCho(b1-2)[GlcNAcOPCho(b1-6)]Man(a1-6)]Man(b1-4)GlcNAcOPCho(b1-4)[Fuc(a1-6)]GlcNAc,0.044
Glc(a1-2)LDManHep(a1-6)[LDManHep(a1-2)]DDManHepPGroA(a1-5)KdoOPPEtnN(a2-6)GlcN4P(b1-6)GlcN1P,0.062
GalOS(b1-4)GlcNAc(b1-2)[GalOS(b1-4)GlcNAc(b1-4)]Man(a1-3)[GalOS(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.001
QuiNAc(b1-3)Rha(a1-3)[Gal(a1-6)]Gal(b1-3)D-FucNAc(a1-2)QuiNAc,-0.105
Man(a1-3)Man(a1-2)Man,-0.149
Fuc(a1-3)[GalNAc(b1-4)]GlcNAc(b1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.181
GlcA(b1-2)Man(a1-3)Glc(b1-4)Glc,0.033
Rha(a1-2)Rha3Me(a1-2)Rha(a1-4)Gal2Me(b1-2)Rha,-0.211
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,-0.041
Man(a1-6)Man(b1-4)GlcNAc(b1-4)GlcNAc,-0.121
Glc6AcNMe1Vac(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)[FucOMe(a1-6)]GlcNAc,0.104
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-3)[Gal(a1-2)]Gal(b1-3)[Glc(b1-2)]LDManHep(a1-3)[Glc(b1-4)]LDManHepOPEtn(a1-5)Kdo,-0.427
Araf(a1-3)[Xyl(b1-4)]Xyl(b1-4)[Araf(a1-2)][Araf(a1-3)]Xyl(b1-4)Xyl(b1-4)Xyl,0.07
GalASer(b1-3)GlcNAc(b1-2)QuiNAc(a1-4)GlcA(b1-3)GalASer,0.238
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)[Neu5Gc(a2-6)]GalNAc,-0.044
L-4dThrHexNAcA4en6N(b1-4)GalAN(a1-3)QuiNAc(a1-3)Rha,-0.084
Glc(b1-3)Glc(b1-4)Gal,-0.084
Neu5Ac(a2-3)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc(b1-4)]Gal(b1-4)Glc,-0.189
Fuc(a1-3)GalNAc(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.232
FucNAc(a1-3)[Glc(a1-6)]GlcNAc(b1-2)Rha(a1-6)Glc(a1-3)FucNAc,0.154
GalfOAc(b1-4)GlcA(b1-3)GalfOAc,0.091
[Man(b1-2)Man(b1-2)Man(a1-6)Man(a1-3)Man(a1-2)[Man(b1-2)Man(b1-2)Man(b1-2)Man1P(a1-6)]Man(a1-2)Man(a1-2)]Man(a1-6)Man(a1-6)[Man(a1-3)Man(a1-2)Man(a1-2)]Man(a1-3)[Man(a1-3)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.012
[Abe(a1-3)]Rha(b1-2)Man(a1-2)Man(a1-3)Gal(b1-4)Rha,-0.074
Neu5Gc(a2-6)Gal(b1-4)Glc,-0.134
Glc(a1-3)Glc(a1-3)LDManHep4P(a1-3)LDManHep4PEtn(a1-5)Kdo,-0.208
Neu5Ac(a2-6)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)]Gal(b1-4)Glc,0.021
Galf3Ac5Ac(b1-3)Gal(b1-4)[Glc(b1-6)]GlcNAc(a1-4)[Glc(b1-3)]Gal(a1-2)Rib5P-ol(5-6)Galf3Ac5Ac,-0.046
D-Rha(a1-3)D-Rha(a1-6)Man(a1-6)Man(a1-5)Kdo(a2-6)GlcN(b1-6)GlcOPN,-0.016
Glc(a1-2)[Glc(a1-3)]Fruf,-0.287
Gal(b1-4)GlcNAc(b1-2)Man(bond)[Man(a1-3)[Man(a1-6)]Man(bond)]GlcNAc(b1-4)GlcNAc,-0.126
Fuc(a1-2)Gal(b1-4)Xyl,-0.112
Glc(b1-3)GlcNAc1Gro,-0.187
FucNAc(a1-3)QuiNAcNBut(b1-4)FucNAc,0.139
Rha(b1-4)Rha(a1-2)Rha(a1-2)GalA(a1-3)GalNAc(a1-3)Rha,-0.161
Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-3)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc-ol,-0.114
Rha(a1-3)[Glc(a1-2)]Rha(a1-2)Rha,-0.106
D-FucNAcNMeN(b1-6)LDManHep(a1-4)GlcN(a1-4)[GalA6N(a1-6)]Glc(b1-4)[GlcA(b1-2)[GlcN(a1-7)]LDManHepOP(a1-3)]LDManHep(a1-5)KdoOP(a2-6)GlcN4P(b1-6)GlcN1P,0.291
GlcNAc6S(b1-3)Gal-ol,-0.166
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man,-0.081
GalALys(a1-4)GalNAc(b1-4)[Glc(b1-2)]GlcA(b1-3)GalNAc,-0.123
Rha2Me(a1-2)[Araf(b1-3)]Rha(b1-4)Xyl(b1-4)[Gal(a1-2)][Man(a1-3)D-Rha(a1-3)]Fuc(a1-3)[Xyl(b1-4)]Glc,-0.029
Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,-0.213
Glc(a1-3)ManNAcA(b1-4)GlcNAc(b1-6)Glc,-0.198
Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,-0.079
Man(a1-6)Man(a1-3)[Man(a1-3)[Man1P(a1-6)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc,-0.059
Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(bond)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(bond)]Man(b1-4)GlcNAc(b1-4)GlcNAc,-0.174
Glc(b1-6)[Gal(a1-4)]Man(a1-6)Glc(a1-6)Glc,0.109
GalNAc(b1-3)Gal(a1-3)Gal(a1-3)Gal(a1-3)Gal(a1-4)Gal(b1-4)Glc,-0.049
GlcNAcA3NBut(b1-4)FucNAm3Ac(a1-3)QuiNAc(a1-4)GlcNAcA3NBut,0.125
RibOP-ol(1-5)RibOP-ol(1-5)RibOP-ol(1-5)RibOP-ol(1-5)RibOP-ol(1-5)RibOPEtn-ol,0.204
Man(a1-2)Fuc(a1-2)Glc(b1-3)GlcNAc,-0.358
Neu5Ac(a2-3)Gal(b1-4)GlcNAc6S(b1-3)Gal(b1-4)GlcNAc6S(b1-3)Gal(b1-4)GlcNAc6S(b1-3)Gal(b1-3)GalNAc,0.521
[GalNAc(a1-2)]QuiNBut(b1-4)[GalNAc(a1-2)]QuiNBut(b1-4)QuiNBut(b1-4)QuiNBut,-0.146
Fuc(bond)HexNAc(bond)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,-0.09
Rha(a1-2)Rha(a1-3)Rha(a1-3)[GlcNAc(b1-2)]Rha(a1-2)Rha,-0.357
Gal(b1-6)Gal(b1-6)Glc,-0.127
GlcNAcANAla(b1-4)GlcNAcAN(b1-3)L-GalNAc-onic,-0.041
Gal(a1-4)Gal(b1-4)Gal(b1-4)GlcNAc(b1-2)Man(bond)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(bond)[Gal(a1-4)Gal(b1-4)GlcNAc(bond)]Man(bond)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.346
Fuc(a1-2)[Gal(a1-4)]Gal(b1-3)[Fuc(a1-3)GlcNAc(b1-6)]GalNAc,0.063
[Man(b1-2)Man(b1-2)Man(b1-2)Man(b1-2)Man(a1-6)Man(a1-3)Man(a1-2)Man(a1-2)[Man(b1-2)Man(b1-2)Man(b1-2)Man1P(a1-6)]Man(a1-2)Man(a1-2)]Man(a1-6)Man(a1-6)[Man(b1-2)Man(b1-2)Man(a1-2)Man(a1-3)Man(a1-2)Man(a1-2)]Man(a1-3)[Man(a1-3)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.463
Xyl(a1-6)Glc(b1-4)Glc-ol,0.179
[Fuc(a1-3)]GlcNAc6Ac(a1-4)GlcA(a1-3)Fuc(a1-3)GlcNAc(b1-4)GlcNAc6Ac,0.589
Man(a1-2)Man(a1-3)[Man(a1-6)]Man(bond)GlcNAc(bond)GlcNAc,-0.228
GlcNMeOCm1Pam(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)[FucOSOMe(a1-6)]GlcNAc,-0.098
Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)ManNAc,-0.221
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-4)[GlcNAc(a1-2)LDManHep(a1-3)]LDManHep(a1-5)Kdo,-0.016
Glc1P(a1-6)GlcNAc(a1-4)[Glc(a1-6)]GalNAc(a1-3)GalNAc(b1-2)Glc1P,0.019
Glc(b1-3)Rha,-0.182
Rha(a1-2)Rha(a1-3)RhaOAc(a1-3)[Glc(a1-4)]GlcNAc,-0.114
