glycan,Pro_1,Pro_2,Pro_3,Pro_4,Anti_1,Anti_2,Anti_3,Anti_4
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.618486333,1.048404634,1.232294668,1.058271776,1.650269105,1.248578164,1.444405928,1.143445556
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.248544445,0.365514714,0.230106041,0.130910782,0.129761486,0.19606227,0.137007475,0.067496383
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.163959822,0.534837097,0.181718431,0.124411016,0.186403966,0.35129655,0.304877896,0.141135782
{Fuc(a1-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.09034241,0.100151628,0.169356633,0.147938338,0.062158227,0.030057753,0.054873019,0.093297049
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,4.780744866,5.415754369,4.136375356,3.930344478,2.870592794,3.494722034,5.481699573,3.794771065
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.436357953,1.266581469,0.54904043,0.23719569,0.155572354,0.26931087,0.264210836,0.092759535
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,5.917085134,2.88771519,3.465424051,8.004324633,6.166251689,4.14049664,5.144358058,7.961040995
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,8.100245803,6.023753988,4.833404168,4.929385992,2.545093,3.394987444,2.601641389,2.323749205
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.387352337,2.345192454,0.671598828,1.840806996,0.163987404,0.338658007,0.184977598,0.170929408
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,4.616236683,4.332436675,3.486144779,3.428763937,5.069537307,4.878093009,5.392862306,4.886999229
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.615946052,1.439955197,0.727992173,0.234723948,0.183363234,0.479825039,0.290271769,0.162405973
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,3.946277111,1.015159775,1.834549695,4.298176312,4.891831249,2.984674393,3.013364106,4.597739985
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,3.987267067,2.906720764,2.223357676,2.057130198,1.701112979,1.815059648,1.627182603,1.372656824
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.401399965,0.874494699,0.204028533,0.222914513,0.050278156,0.198699879,0.060725474,0.106043806
{GlcNAc(b1-4/6)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0180959,0.043671114,0.009241916,0.127889764,0.102394895,0.101218246,0.023209736,0.078784174
{Man(a1-2/3/6)}Man(a1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,5.727215274,5.713170743,7.52651017,7.254013606,6.577386993,6.761565641,5.65342161,6.300276743
