glycan,Pro_1,Pro_2,Pro_3,Pro_4,Anti_1,Anti_2,Anti_3,Anti_4
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.545960047,0.54814879,0.573155354,0.411084474,0.390234124,0.286402671,0.320036517,0.332535198
Neu5Ac(a2-3)Gal(b1-3)GalNAc,12.28639082,11.90356884,11.08983292,9.499538058,10.61754569,9.028022907,8.046415557,10.27251557
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,23.05823704,24.56426109,28.48789229,26.49213825,15.4584553,15.95544039,14.31191534,24.14368557
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,1.475509754,1.056038606,1.756629828,0.973146914,4.025773623,2.586850412,5.857348125,4.244148299
{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,8.688958479,8.026380307,11.42490867,7.975729998,14.79104096,11.0705079,15.87759187,14.14251664
{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,6.574954588,5.277558969,10.54278823,7.192472135,10.19087534,7.627943317,9.044859765,7.69755679
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,46.94724908,48.12638667,35.7715814,47.07810589,42.35315301,51.80014931,45.10853973,38.0155493
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0.4227402,0.497656731,0.353211316,0.377784283,2.172921969,1.644683092,1.433293093,1.15149264
