dataset,publication,doi,repository,accession,species,tissue,source_type,tumor_entity,glycan_class,ion_mode,derivatization,separation
mouse_taysachs_O_PMID41460292,PMID:41460292,10.1007/s10719-025-10203-z,,,Mus musculus,neuroglial cells,primary cells,,O,,,
time_series_HMO_PMID22649065,PMID:22649065,10.1152/ajpendo.00175.2012,,,Homo sapiens,milk,body fluid,,free,,2-AB,
time_series_N_PMID32149347,PMID:32149347,10.1093/glycob/cwaa020,,,Homo sapiens,macrophages,primary cells,,N,negative,reduced,PGC-LC
time_series_O_PMID32149347,PMID:32149347,10.1093/glycob/cwaa020,,,Homo sapiens,macrophages,primary cells,,O,negative,reduced,PGC-LC
keratinocytes_N_PMID37956981,PMID:37956981,10.1021/acs.analchem.3c03626,,,Homo sapiens,skin,cell line,,N,positive,none,RP-LC
lipoproteins_PMC9218963,PMC9218963,10.1039/d2ra02294j,,,Homo sapiens,plasma,body fluid,,N/O,positive,none,RP-LC
milk_N_PMID34087070,PMID:34087070,10.1021/acs.jafc.0c07998,,,Homo sapiens,milk,body fluid,,N,positive,none,RP-LC
sorghum_N_PMID39137587,PMID:39137587,10.1016/j.bbrc.2024.150509,,,Sorghum bicolor,,plant tissue,,N,positive,none,RP-LC
A549_influenza_PMID33046650,PMID:33046650,10.1073/pnas.2008203117,Synapse,syn21975628,Homo sapiens,lung,cell line,lung adenocarcinoma,,,,
HEK_XBP1_PMID30305426,PMID:30305426,10.1073/pnas.1805425115,,,Homo sapiens,kidney,cell line,,,,,
bacteria_PMID20973590,PMID:20973590,10.1021/ac1022309,,,Escherichia coli; Enterobacter cloacae; Staphylococcus aureus; Bacillus subtilis,,bacteria,,,,,
Arabidopsis_thaliana_roots_PMID37608048,PMID:37608048,10.1038/s41526-023-00312-0,NASA OSDR,OSD-615,Arabidopsis thaliana,root,plant tissue,,cell wall,,,
