glycan,Colo320,LS411N,SW1398,HCT8,C10,HCT15,SW620,SW48,SW480,HCT116,DLD-1,RKO,SW837,LOVO,Caco-2,LS174T,WiDr,LS180,HT29,SW1463,SW1116,SW948
Neu5Gc(a2-3/6)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0.379494458,0,0,0,0,0,0,0,0,0,0,0
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0.220957535,0,1.956800101,0,0,0,0,0,0,0,0,0,0.254322189
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,10.15397238,0,0,0,0,0,0,0,0,0,0,0,23.14779609,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,6.731773376,0,0,0,0,0,0,0,0,0,0,0,7.87859665,0
Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,8.365508895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,15.90491786,0,0,0,26.6267406,23.6918224,26.53438577,0,0,0,0,1.008280191,0,0,10.03723427,0,16.83010843,5.391140648,4.45958676,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,2.232986542,8.744004073,0,0,0,0,0,0,0,0
Fuc(a1-?)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41948878
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,6.285273809,1.430687104,3.953003627,0.367185831,6.508987589,4.947512516,6.338373392,3.212871499,8.452382296,9.278537561,5.970822831,3.705332141,7.092921303,0.618794254,0,0,0.68405677,3.637417728,2.914604826,4.087034026,5.567506407
Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,1.058609707,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0,0.645232339,0,0,0,0,0,0,0.921712031,0,0,0,6.860227745,0.529672704,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,1.124883157,0,5.19863602,0,4.309809464,0,0,0,0,0,0,0,0,1.952734559,10.74571857,8.831211629,7.09374408,2.407169643,10.09822595,0.984005147
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0.889083724,0,0,0,0,0,0,0,0,0,0,6.981658952,0,4.919237749,0,0.392808268,0,1.470979743
Fuc(a1-2)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0.844593446,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-6)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,0,0,0,0,1.906830288,0,0,0,1.272014058,2.992318127,0,0,0,0,0,0,0,0,0,0,4.120073131,0
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,1.126679564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997921444,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)[HexNAc(?1-?)]Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0.666806991,0,0,0,0.307637164,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)GlcNAc(b1-3/6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0.709891984,0,0,0,0.74251217,17.29222799,0,0,0,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.08946289,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,1.955018025,0,0,0,0,0,0,0,0,0,0,0,0,0,5.206042829,0,4.960400568,12.20618269,2.515909623,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,4.087856489,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GlcNAc(b1-3)[HexNAc(?1-?)]Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896605313,0,0,0,0,0,0,0,0
Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770626683,0,0.413430973
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.839788917,0,2.450857565,0,1.590633454,0.943539797,2.456120404
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,1.22726291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.773769539,4.280985214,0,1.541057751
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,5.040363879,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0.873836891,0,8.635382456,0,25.93128309,0,0,2.853993526,0,0,6.235927527,6.072800688,0,0,0,0,0,0,0.598550872,1.183460403,4.918817421
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0.54563665,0.372443798,1.158892485,0,0.749027099,0,0,0,0,0,0,0,0.217148671
Neu5Ac(a2-8)Neu5Ac(a2-3)[Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc1Cer,0,0,0,0,0.624123462,0,0,0,0,0,0.682544481,0,7.704133238,0,0,0,0,0,4.310792037,0,0,0.181277503
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0,0,6.416323161,3.320826224,0,0,0,0,0,4.181206775,0.689253167,2.284377656,0.642700724,0.490151734,0,0,5.346672146,0,0,0,0,0.419531992
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,5.564406159,0,0,0,0,0,0,0,5.185944561,0,8.765457962,0,0,0,3.811490689,0,4.849179336,0,0,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,12.45665579,1.57787432,0,0,0,0,0,0,1.22629169,1.01562014,1.32170464,0,0.841555555,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,1.295333402,0,2.197925683,0.421487227,0,0,2.944779267,0,15.10372119,1.391959481,4.012648782,1.340293251,1.368684705,0.467326125,0,0,0,1.195489683,0,1.858624724,2.367214897
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.28410065,0,3.374807371,0,3.886563587,0,2.734308787
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.584452344,0
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,3.265763943,0,11.067148,0,0,1.710014744,0,0,2.600588893,4.385579808,0,0,0,0,1.681431107,2.471686007,2.903781767,3.220075647,9.844303467
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0.482707162,0,0.788495236,0,0,0,0,0,0,0,0,0,0.245266174
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,4.775950465,0,0,0,0,0,0,0,0
Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,4.639237131,0,0,0,0,0,0,0,0,0,0,0,6.467681371,0,0,0,0,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,2.108175174,0,0,0,9.178206829,25.99865031,6.332071586,0,0,0,0,0,0,0,0,0,6.489165317,5.450616358,3.000521555,0
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,1.974796823,0,0.437527125,0,0,0,0,0.231384888,0,0,1.7167998,0,0.647294626,0,0,0,0,0,0,0
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0.267183109,0,0,0,0,0,0,0,0,0,0,0,0.352460139
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0.305859652,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.180398796
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404560051
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.953582728,0,3.505493576,0,1.59584332,4.254188915,3.821849909
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0379931,1.081729161,0
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662081044,0,0
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482372461
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0.335806062,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0.827862282,0,0.533671669,0,0,0,0,0,0,0
