glycan,WT_1,WT_2,WT_3,FUT8_KO_1,FUT8_KO_2,FUT8_KO_3
Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.457940702,1.835798624,1.166649291,2.548482086,2.690006991,1.680078751
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,4.760288295,3.854050209,3.912533759,19.83818015,19.01863515,12.23323769
Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.449838219,3.117948686,1.468392676,3.801723198,2.314402012,2.514137164
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.528458963,1.216108484,0.387702875,0.803347683,1.105005036,0.506667439
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.043417864,2.400087217,1.277393441,10.65084404,9.235977287,8.688622764
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.226419524,0.298916761,0.206538822,1.402514508,1.153954153,1.268116218
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.536138346,0.326276843,0.477399735,0.070423336,0.02919929,0.132952584
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.650725017,1.518694222,1.937875089,4.765914303,5.152420742,5.893113742
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.317838425,0.334715489,0.374572907,0.9676688,0.775214281,0.936839523
Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,3.11826984,2.957457169,4.45346877,1.608233578,2.128950693,1.712002609
Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.158461873,0.597728694,0.743687288,1.874544806,3.15150804,2.089907947
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.23784811,0.742443612,0.733753755,0.34074729,0.45017065,0.561600856
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.34214832,0.274544274,0.420650735,0.155426242,0.121857773,0.2470099
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.195163945,0.281724985,0.136807382,0.221569337,0.170627753,0.23923846
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.286338279,0.281253259,0.44873018,0.079184454,0.105825034,0.24441942
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.403730126,0.396668779,0.785191757,0.259288958,0.139861017,0.47337215
