glycan,mock_1,mock_2,mock_3,mock_4,PR8_1,PR8_2,PR8_3,PR8_4,x31_1,x31_2,x31_3,x31_4
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.430092128,0.40838352,0.507354881,0.485136302,0.294921587,0.2649294,0.301408797,0.444451501,0.076976226,0.152208444,0.082694525,0.162289208
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.069949228,0.069267799,0.074517761,0.079434115,0.0330212,0.036543084,0.047200885,0.06135077,0.019385061,0.020647097,0.029431029,0.027944454
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.251535976,0.24761884,0.21076901,0.264012659,0.886777165,0.946007986,0.970487992,0.939794855,1.213399251,1.107151812,1.209386626,1.339499125
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.272642873,0.296633389,0.27519441,0.237736866,1.624295317,1.407005117,1.629045335,1.528196698,1.14549925,1.047427263,1.389759614,1.089949168
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.907893702,0.866480836,1.017559272,0.860088818,0.484437062,0.473078058,0.451813105,0.481907052,0.176280701,0.165181376,0.178629032,0.136365863
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.718705634,0.704877345,0.784204772,0.668984928,0.304076194,0.285647788,0.324303264,0.361071347,0.099536286,0.100994492,0.105440604,0.116603229
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.375747336,0.405938503,0.374467438,0.323149592,1.473858578,1.732294198,1.600689727,1.563451832,1.752294872,1.979259017,2.118996098,1.906178326
{Fuc(a1-2/3)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.047636396,0.05162156,0.036862669,0.035095637,0.112977525,0.15949429,0.16267286,0.137929916,0.101724447,0.107691984,0.14432464,0.089408772
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.124608165,0.125745875,0.122789866,0.105692925,0.532177708,0.563575022,0.558261014,0.614626077,0.604539508,0.529218888,0.664967434,0.466690771
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.409147476,0.471373612,0.524623223,0.414851607,0.307590111,0.235245335,0.241822608,0.31653047,0.118852563,0.132607502,0.143160105,0.138498871
