glycan,WT_1,ST3GAL1_1,ST3GAL2_1,ST3GAL3_1,ST3GAL4_1,ST3GAL5_1,ST3GAL6_1,ST3GAL1+2_1,ST3GAL4+6_1,WT_2,ST3GAL1_2,ST3GAL2_2,ST3GAL3_2,ST3GAL4_2,ST3GAL5_2,ST3GAL6_2,ST3GAL1+2_2,ST3GAL4+6_2,WT_3,ST3GAL1_3,ST3GAL3_3,ST3GAL4_3,ST3GAL6_3,ST3GAL4+6_3,WT_4
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,7.0074492,6.4927716,13.259885,2.3236126,5.6444841,21.6297332,7.7822439,6.0539302,3.8265038,6.6078855,4.6661111,5.9269925,3.3153087,3.5145011,17.9435696,7.6437833,5.9251001,4.8233587,6.6011618,6.045775,2.8526093,4.5840445,7.1924594,4.2315587,5.9343583
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc1Cer,1.2116948,0.8708018,0.9161644,5.0139647,1.3237283,6.53E-03,0.7091795,3.3032787,1.0770795,0.8702838,1.7234037,2.2164564,3.7453928,0.5599668,4.58E-03,0.4928995,3.604138,1.2181263,0.8863287,1.5104295,0.5576846,3.6216268,0.5112808,1.0991062,0.8861834
Neu5Ac(a2-6)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.0425091,0.0949047,0.0484185,0.1110226,0.026551,0.1312029,0.0651994,0.0981518,0.0163906,0.0503396,0.2175257,0.0363801,0.0920066,0.0244204,0.0752626,0.0406936,0.103485,0.0109089,0.0437818,0.1010546,0.2009269,0.0163784,0.0406749,0.0307068,0.0437494
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.3059411,0.4111289,0.1821099,0.116658,0.2624375,0.5285268,1.2147508,1.2806155,0.4548059,0.2419067,0.175612,0.5652985,0.2263109,2.0477519,0.2465238,0.3106952,1.0412359,0.5284116,0.2565163,0.4584447,0.1161217,0.2360367,1.4853048,0.4752735,0.2033887
H3N1F1,2.18E-03,0.0169308,9.16E-03,0.0352884,2.64E-03,0.0107994,7.36E-03,4.61E-03,9.08E-03,4.42E-03,3.50E-03,0.0119538,9.04E-03,4.88E-03,0.0101993,0.0136365,1.81E-03,1.61E-03,0.0214546,4.28E-03,6.22E-03,8.89E-03,0.0116784,0.0125305,0.0143661
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,2.1080541,1.5321238,13.9255846,1.0282465,1.190833,11.2001836,3.5016067,2.8224277,1.2889662,1.9915716,1.0263081,1.9462305,1.5643714,0.8880257,7.4388608,4.2117164,2.8403431,1.2486393,2.0356802,1.4490681,1.4467186,0.8035066,2.5534127,1.2010657,1.8618949
H4N1,0.0249165,0.0229121,0.01788,0.0181966,0.0237039,0.0247164,0.0174415,0.0188812,0.0246053,0.0293017,0.0210907,0.0232346,0.0206195,0.0155403,0.0270628,0.0219952,0.0188254,0.0247942,0.0253534,0.0317157,0.0164463,0.0294119,0.0230154,0.0307817,0.0298469
H4N1,0.0240127,0.0278666,0.1183567,0.0304718,0.0268612,0.0456464,0.0449011,0.0129567,0.0239288,0.0265533,0.0202847,0.0678746,0.0286,0.094884,0.0571542,0.0260853,6.40E-03,0.0252874,0.0300144,0.0263303,0.0291904,0.0268629,0.0594386,0.028481,0.0308644
H3N2,0.0155021,0.0220678,0.0154598,0.0150001,0.0137756,0.0119338,9.29E-03,6.63E-03,0.0146844,0.011016,0.0140471,0.0118392,9.11E-03,0.011328,0.0121653,0.0149274,0.0135527,6.76E-03,0.0104747,5.56E-03,9.95E-03,6.74E-03,9.16E-03,0.0145853,8.47E-03
H3N2,0.0589773,0.0556875,0.0774891,0.0461769,0.0474612,0.0679193,0.0633997,0.0592416,0.0542465,0.0628437,0.050506,0.0490699,0.0661825,0.0397667,0.0862664,0.0266185,0.0625507,0.0595817,0.0578379,0.0587614,0.0602655,0.0587244,0.059451,0.0594683,0.0589201
{HexNAc(?1-3/4/6)}Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.2339888,0.1035876,0.213823,0.1519165,0.0789665,0.1731115,0.2184139,0.1034203,0.12928,0.1349416,0.1112366,0.1259843,0.1414151,0.1444292,0.2281671,0.1170033,0.1234784,0.1938162,0.1361563,0.0814892,0.1229886,0.091524,0.1931959,0.0878673,0.07596
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,0.7312412,0.7744209,0.0667712,0.8412493,3.7086266,0.0158978,3.341436,1.1166854,1.9504399,0.6245385,1.837566,2.2708733,0.8927587,4.9101309,8.38E-03,0.360995,0.4922711,2.675079,0.6373562,1.0395648,1.0905206,2.7660471,1.2802356,1.5929384,0.5926543
Neu5Gc(a2-8)Neu5Gc(a2-3)Gal(b1-4)Glc1Cer,0.036408,0.0152584,0.0376296,0.0500148,0.0272588,0.0139344,0.019332,0.0206378,0.0253095,0.0391402,0.0562255,0.0502904,0.0335011,0.0498269,0.0161795,0.035118,0.0146533,0.023529,0.0333779,0.0286006,0.0485864,0.0363255,0.0248927,0.0224155,0.03205
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0.5221935,0.2402839,0.1615711,0.2023952,0.2872152,7.86E-03,0.0645778,0.9432272,0.1212635,0.3837415,0.2649522,0.2786173,0.6348315,0.0905518,6.40E-03,0.2707086,1.6030511,0.1519127,0.3757328,0.122436,0.0458795,0.1284619,0.0583979,0.1747938,0.3825104
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.2239767,0.143886,0.6688912,0.19697,0.143345,0.7057179,0.3571273,0.2385242,0.1820556,0.2122384,0.1709136,0.3512067,0.1764301,0.2507922,1.0015692,0.1883645,0.1754153,0.1802321,0.2090314,0.1545064,0.2099029,0.2322069,0.342762,0.1859166,0.1675079
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,1.98E-03,0.0166641,0.016989,6.90E-03,9.15E-03,2.91E-03,8.41E-04,1.08E-03,7.71E-03,2.31E-03,0.1209754,0.2255512,4.74E-03,0.0899864,0.2516716,1.35E-03,5.61E-04,7.14E-03,1.22E-03,0.0503807,0.016809,0.1431116,1.76E-03,0.0228071,5.09E-03
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.0482693,0.0594859,0.0615929,0.0353826,0.0356779,0.1599255,0.0711694,0.0442946,0.0331424,0.0419653,0.0759708,0.0451725,0.0133917,0.0638223,0.1512756,0.0546597,0.0418592,0.0256984,0.0646078,0.0434648,0.0302493,0.0336736,0.0446667,0.0301692,0.0414579
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,8.8396848,9.2247194,11.530505,4.4048689,10.2421956,25.4375509,10.9036114,10.744217,9.8036855,9.3159646,9.6500786,13.6254318,3.2008221,11.3342812,30.6894398,9.7691469,10.2147523,9.4824839,9.4087319,10.0192121,4.1520341,10.8090673,11.1781572,7.7272436,9.0145376
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.1818599,0.1271878,0.2469051,0.0547899,0.0512071,0.9650763,0.9393338,0.2486121,0.0442619,0.1895667,0.0226176,0.1820603,0.0347485,0.2463626,0.1470326,0.2960904,0.5448734,0.0282451,0.1856333,0.0777461,9.85E-03,0.0104232,0.9039669,0.033477,0.1634672
Neu5Gc(a2-3/6)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.0529701,0.037284,0.0373473,0.0190921,0.0385112,0.0677456,0.0361946,0.0344721,0.024223,0.0321771,0.0397065,0.0720226,0.010331,0.0642414,0.0502226,0.050712,0.0459299,0.021381,0.0359366,0.0323285,0.0219507,0.0306339,0.0374689,0.0142729,0.034928
