glycan,WT1,WT2,WT3,WT4,KO1,KO2,KO3,KO4
Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,2.4,1.6,4.1,1.6,6.9,4.3,3,4.9
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,9.8,6.1,13.6,6.3,15,23.7,23.7,19.3
Neu5Ac(a2-8)Neu5Ac(a2-3)[Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc1Cer,59,56.6,50.7,60,56.1,53.8,51.3,49.9
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,27.1,33.5,30,30,20.9,17.2,20.5,24.7
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,1.7,2.1,1.6,2.1,1.1,0.9,1.5,1.2
