glycan,WT_1,ST3GAL1_1,ST3GAL2_1,ST3GAL3_1,ST3GAL4_1,ST3GAL5_1,ST3GAL6_1,ST3GAL1+2_1,ST3GAL4+6_1,WT_2,ST3GAL1_2,ST3GAL2_2,ST3GAL3_2,ST3GAL4_2,ST3GAL5_2,ST3GAL6_2,ST3GAL1+2_2,ST3GAL4+6_2,WT_3,ST3GAL1_3,ST3GAL3_3,ST3GAL4_3,ST3GAL6_3,ST3GAL4+6_3,WT_4
Fuc(a1-3/4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0215426,1.09E-03,0.0259525,1.94E-03,0.0345886,3.72E-03,0.0309876,0.0233442,0.0351181,0.0322628,0.0156539,0.0186728,0.0251125,0.0157948,0.0259271,0.068668,0.0186394,0.0333365,9.18E-03,0.0203269,0.0244567,0.0173704,5.09E-03,0.0391651,0.0196675
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0977554,0.0860397,0.0688745,0.0898323,0.1347916,0.1327664,0.1792481,0.0950867,0.1403647,0.1101399,0.1020215,0.1590675,0.1085698,0.2066947,0.1509389,0.0459213,0.0750079,0.1420871,0.1183754,0.0881257,0.118872,0.1505613,0.1348738,0.155443,0.1634878
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2088126,0.1351731,0.2196349,0.0874812,0.2326429,0.1221147,0.2509938,0.1142335,0.201831,0.2515894,0.1293794,0.1302938,0.260697,0.1796414,0.1722946,0.2775016,0.1320319,0.1383994,0.2462162,0.0531365,0.0907814,0.1944136,0.2778751,0.2073626,0.3521265
GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.172926,0.1907803,0.1589852,0.2144211,0.2705078,0.1638951,0.2525933,0.1031074,0.1893054,0.1949861,0.1341403,0.3111184,0.1679875,0.496615,0.1666922,0.2286299,0.1269287,0.2024034,0.158904,0.1667908,0.1525095,0.1928337,0.1459328,0.192264,0.090716
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,5.45E-03,1.61E-03,0.0228836,6.72E-03,9.35E-03,0.0251888,0.0342481,0.020837,0.0173951,0.0159035,2.36E-03,0.015288,0.0183403,0.0309149,0.0165698,0.0195651,3.93E-03,0.0118787,4.02E-03,5.22E-03,6.00E-04,7.67E-03,0.0176396,0.0164151,0.0307867
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.223107,0.1653382,0.2284072,0.1267218,0.1563651,0.2768248,0.2674814,0.2548289,0.1694074,0.2016835,0.1171432,0.1285115,0.1494061,0.1673264,0.2601592,0.2508418,0.2027341,0.1972024,0.139547,0.1400994,0.1336811,0.2065265,0.1222645,0.1677405,0.3081538
GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,5.85E-03,7.90E-03,6.05E-03,7.42E-03,0.010813,1.21E-03,0.0256523,2.04E-03,8.44E-04,0.0347847,1.32E-03,7.44E-03,0.01215,0.024897,9.90E-03,0.0299691,7.45E-04,4.72E-03,0.0139918,3.10E-03,0.0298435,2.02E-03,2.36E-03,6.50E-03,0.0153557
{GlcNAc(b1-2/4)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0317433,0.0233007,0.0576933,0.0311478,0.0286529,8.50E-03,0.0733318,5.95E-03,0.025584,0.0257677,9.10E-03,0.0491898,0.0248134,0.0494056,0.0141392,0.041153,0.0167573,0.0160333,0.0145211,7.13E-03,0.0298435,0.0196058,3.58E-03,0.0163808,3.22E-03
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0199974,0.0365362,0.0408108,7.28E-03,0.0575921,0.044984,0.0992302,0.0834683,0.0763372,0.0574752,0.0762235,0.0336606,0.1469346,9.52E-03,0.0830083,6.89E-03,0.0450863,0.0507901,0.0637478,0.0411292,0.0180242,0.0737668,0.0924149,0.062259,0.0910334
{Man(a1-2)}Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.7800224,1.6567637,1.764399,2.0555247,1.9114925,1.9096784,2.4214048,1.7630438,2.596082,2.2713956,1.7015352,1.4517029,3.0622142,2.193738,1.9600486,3.0297801,2.1190936,1.9208486,2.6808474,1.8076357,1.9305101,2.0848218,2.7607872,2.5377975,1.9962732
