dataset,group,samples,paired
glycomics_human_pbmc_cancer_N_PMID39947398,stage4,"stage4_D21,stage4_D22,stage4_D23,stage4_D24,stage4_D25,stage4_D28",FALSE
glycomics_human_pbmc_cancer_N_PMID39947398,healthy,"healthy_E21,healthy_E22,healthy_E23,healthy_E24,healthy_E25,healthy_E26,healthy_E27,healthy_E28",FALSE
glycomics_human_colorectal_O_PMC9254241,healthy,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12",TRUE
glycomics_human_colorectal_O_PMC9254241,cancer,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12",TRUE
glycomics_human_colorectal_O_PMC9254241,ST,"ST4,ST7,ST6,ST11,ST12",TRUE
glycomics_human_colorectal_O_PMID19152289,healthy,"C1,C2,C3",TRUE
glycomics_human_colorectal_O_PMID19152289,cancer,"T1,T2,T3",TRUE
glycomics_human_gastric_O_PMID28461410,cancer,"P1TS,P1TI,P3TS,P2TS,P4TS,P4TI,P6TA-FS,P6TA-FG,P6TA-AS,P6TA-AG,P5TA-AS,P5TA-AG,P7TA-AS,P7TA-AG",FALSE
glycomics_human_gastric_O_PMID28461410,healthy,"P8H,P9H,P10H",FALSE
glycomics_human_liver_O_PMC5383776,healthy,"control_1,control_2,control_3",TRUE
glycomics_human_liver_O_PMC5383776,cancer,"tumor_1,tumor_2,tumor_3",TRUE
glycomics_human_macrophages_N_2024_11_28_625934,Pro,"Pro_1,Pro_2,Pro_3,Pro_4",FALSE
glycomics_human_macrophages_N_2024_11_28_625934,Anti,"Anti_1,Anti_2,Anti_3,Anti_4",FALSE
glycomics_human_macrophages_O_2024_11_28_625934,Pro,"Pro_1,Pro_2,Pro_3,Pro_4",FALSE
glycomics_human_macrophages_O_2024_11_28_625934,Anti,"Anti_1,Anti_2,Anti_3,Anti_4",FALSE
glycomics_human_neutrophils_N_PMID37639587,Az,"Az_1,Az_2,Az_3,Az_4",FALSE
glycomics_human_neutrophils_N_PMID37639587,Sp,"Sp_1,Sp_2,Sp_3,Sp_4",FALSE
glycomics_human_neutrophils_N_PMID37639587,Ge,"Ge_1,Ge_2,Ge_3,Ge_4",FALSE
glycomics_human_neutrophils_N_PMID37639587,Se,"Se_1,Se_2,Se_3,Se_4",FALSE
glycomics_human_ovarian_O_PMC4468167,mucinous,"M-High-IB,M-B,M-Low-IA,M-Low-IIIC,M-LMP-IA,M-High-IA,M-B2,M-Low-IA2,M-LMP-IA2,M-LMP-IA3,M-High-IIB",FALSE
glycomics_human_ovarian_O_PMC4468167,serous,"S-B,S-Low-IA,S-High-IA,S-LMP-IA,S-Low-IIIC,S-High-IIIC,S-High-IV,S-B2",FALSE
glycomics_human_platelets_N_PMID36952551,day0,"DonorA_day0,DonorB_day0,DonorC_day0",TRUE
glycomics_human_platelets_N_PMID36952551,day7,"DonorA_day7,DonorB_day7,DonorC_day7",TRUE
glycomics_human_platelets_O_PMID36952551,day0,"DonorA_day0,DonorB_day0,DonorC_day0",TRUE
glycomics_human_platelets_O_PMID36952551,day7,"DonorA_day7,DonorB_day7,DonorC_day7",TRUE
glycomics_human_prostate_N_PMC8010466,healthy,"control_1,control_2,control_3,control_4,control_5",FALSE
glycomics_human_prostate_N_PMC8010466,stage1,"stage1_1,stage1_2,stage1_3,stage1_4,stage1_5,stage1_6,stage1_7,stage1_8,stage1_9,stage1_10",FALSE
glycomics_human_prostate_N_PMC8010466,stage2,"stage2_1,stage2_2,stage2_3,stage2_4,stage2_5,stage2_6,stage2_7,stage2_8,stage2_9,stage2_10",FALSE
glycomics_human_prostate_N_PMC8010466,stage3,"stage3_1,stage3_2,stage3_3,stage3_4,stage3_5,stage3_6,stage3_7,stage3_8,stage3_9,stage3_10",FALSE
glycomics_human_prostate_N_PMC8010466,stage4,"stage4_1,stage4_2,stage4_3,stage4_4,stage4_5,stage4_6,stage4_7,stage4_8,stage4_9,stage4_10",FALSE
glycomics_human_prostate_N_PMC8010466,stage5,"stage5_1,stage5_2,stage5_3,stage5_4,stage5_5,stage5_6,stage5_7,stage5_8,stage5_9,stage5_10",FALSE
glycomics_human_prostate_O_PMC8010466,healthy,"control_1,control_2,control_3,control_4,control_5",FALSE
glycomics_human_prostate_O_PMC8010466,stage1,"stage1_1,stage1_2,stage1_3,stage1_4,stage1_5,stage1_6,stage1_7,stage1_8,stage1_9,stage1_10",FALSE
