glycan,healthy1,healthy2,healthy3,healthy4,healthy5,infected1,infected2,infected3,infected4,infected5
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,0,0,0,0,0.206363347,0.574706945,0.179656311,0.406056985,0,0
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,0,0,0,0,0.265426083,0,0.180996913,0.254634879,0,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,0,0,0,0,1.372253682,0,0,0
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0.453058421
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0,0.718874511,0
{HexNAc(?1-3/4/6)}{HexNAc(?1-3/4/6)}{HexNAc(?1-3/4/6)}HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0,1.72541112,0
Hex3HexNAc2NeuGc2,0,0.346732711,0,0.184976012,0.296875938,0.85573153,0,0.527916904,0,0
Hex3HexNAc2NeuGc2,0,0.52239716,0,0.261745379,0.330117029,0.574555612,0,0.51096874,0,0
HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3/4)GlcNAc(b1-3)[HexNAc(?1-3/4)HexNAc(?1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0.528955785,0.612575155,0.141513658,0.4803455,0.306815435,0.08410677,0.079526369
HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3/4)GlcNAc(b1-6)[HexNAc(?1-3/4)HexNAc(?1-3/4)GlcNAc(b1-3)]GalNAc,0.35235526,0,0,0.211639098,1.452172634,0.140898933,0.931005457,0.874588452,1.570026061,0.211891009
HexNAc(?1-3/4)GlcNAc(b1-3)[HexNAc(?1-3/4)GlcNAc(b1-6)]GlcNAc(b1-6)[HexNAc(?1-3/4)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0.729730055
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0,0.604177388,0
HexNAc(?1-3/4)GlcNAc(b1-3)[HexNAc(?1-3/4)GlcNAc(b1-6)]HexNAc(?1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,1.266864307,0
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)]GalNAc,0.447315381,0,0,0,0.790872676,0,0,0.236843837,0,0
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)]GalNAc,0,0,0,0,1.512573821,0,0,0.398790293,0,0
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)[HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0.49517097,0.888153543,0.364168431,0.714191826,1.142791691,0.706496984,0.474101925
HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3/4)GlcNAc(b1-3)[HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0.820913536,0.055918924,0.364468032,0.652365557,2.334941173,0.327629997
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)GlcNAc(b1-6)[HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0.585650877,0
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)[HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)]GalNAc,0,0,0,0,0.786366014,0,0,0.27726127,0,0
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)[HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)]GalNAc,0,0,0,0,1.55097708,0,0,0.382332942,0,0
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3/4)GlcNAc(b1-3)[HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)GlcNAc(b1-6)]GalNAc,0.688384767,0,0,0,0.105750907,0,0,0,0,0
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)GlcNAc(b1-6)[HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,1.289982487,0
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.180351438,0.277369095,0,0,0.155912667,0.592110446,0.447458543,0.376919063,0.193398959,0.258676137
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.170582428,0.303111648,0,0.166853605,0.19601838,0.600143433,0.532915158,0.499550426,0.310104904,0.398221493
Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.198352136,0.26148244,1.976299197,0.35049774,0.356299768,1.2091717,0.998600094,1.11142727,0.604488381,0.873007501
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.262170297,0.334672614,0,0.364264589,0.402036385,1.26238397,1.014113133,1.488520407,0.748515138,1.152735477
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,2.782722101,0,3.583670829,1.832410595,0,7.480134367,3.647958948,3.809508396,3.756790381
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,32.75902689,28.41914086,26.31851727,15.55647988,17.77916039,8.758968885,11.06448936,17.53030916,8.968261772,13.07618732
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,6.464905988,5.49246632,4.240967651,2.710664558,3.107263304,0.921461167,3.939288694,0,1.063911411,1.195094084
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,21.64579069,16.57020161,29.14447801,9.914453424,11.22730159,4.97322639,14.96856223,14.41518258,4.889678857,7.933412194
