glycan,WT1,WT2,WT3,WT4,KO1,KO2,KO3,KO4
Neu5Ac(a2-3)Gal(b1-3)GalNAc,11.549,6.567,13.386,10.575,15.640,15.718,13.342,13.945
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,29.441,52.926,42.946,32.473,29.080,39.893,41.312,24.858
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man,50.172,19.248,35.220,49.407,45.676,29.865,39.356,56.313
GlcA(b1-3)GalNAc(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl,4.520,10.951,4.094,4.128,5.449,7.913,3.831,2.547
GlcA(b1-3)GalNAc4S(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl,4.319,10.308,4.354,3.416,4.154,6.610,2.158,2.338
