glycan,stage1_A21,stage1_A22,stage1_A23,stage1_A24,stage1_A25,stage1_A26,stage1_A27,stage2_B21,stage2_B22,stage2_B23,stage2_B24,stage2_B25,stage2_B26,stage2_B27,stage3_C21,stage3_C22,stage3_C23,stage3_C24,stage3_C25,stage3_C26,stage3_C27,stage4_D21,stage4_D22,stage4_D23,stage4_D24,stage4_D25,stage4_D27,stage4_D28,healthy_E21,healthy_E22,healthy_E23,healthy_E24,healthy_E25,healthy_E26,healthy_E27,healthy_E28
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.18845,0.0866336,0.117017,0.134245,0.158409,0.135931,0.185323,0.123416,0.1181,0.112855,0.206676,0.26274,0.217033,0.144805,0.179986,0.090763,0.21208,0.121226,0.16571,0.174563,0.184151,0.180343,0.134131,0.133283,0.222626,0.148067,0.141138,0.150764,0.110774,0.0526056,0.127415,0.105734,0.156611,0.205867,0.0294168,0.0769851
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,15.0485,10.5674,11.1853,10.698,13.1631,12.068,12.5655,6.86098,10.2466,13.8957,16.5291,13.8273,12.9755,13.7266,13.2296,7.33713,12.1025,4.64438,13.0498,12.5422,8.13798,8.98386,12.7173,11.8813,10.4348,11.4914,10.1647,10.0514,9.95217,5.22369,9.59415,10.4375,9.2857,11.7918,6.08788,7.32201
{Man(a1-2)}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,8.2398,5.01322,4.95413,5.78966,7.25693,7.43995,5.65525,3.44114,7.32067,5.79594,5.92879,7.06692,6.47678,7.89638,0.500826,3.11804,7.43501,2.96763,6.53271,6.15804,6.08918,5.47197,7.29394,6.02836,7.03161,5.83843,6.23001,4.78991,4.19296,2.00244,4.84428,5.06917,3.42046,4.63947,1.97882,3.05831
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,8.90218,6.55101,6.76235,6.66253,6.50498,7.2066,5.55507,3.35124,7.62133,7.12568,7.1415,7.57727,8.12092,8.12865,6.36302,3.66395,7.69384,2.28815,6.44517,7.12583,6.04282,4.90583,6.79877,7.09518,5.97673,5.92628,6.84341,5.23963,3.83657,1.64031,4.35165,4.5027,4.0482,4.76236,1.75184,2.89294
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,7.71482,5.18538,3.78164,4.51358,6.14104,5.86452,5.33142,2.11993,4.42539,4.69235,4.42796,7.04711,5.62966,6.953,4.20452,2.75299,4.46949,1.29376,3.97323,5.62297,4.99516,2.87587,3.62644,4.7091,4.45888,3.39806,5.39709,3.92924,3.48048,1.47331,3.01187,2.62079,3.06227,4.34106,1.59258,2.55242
GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.160037,0.41313,0.0863846,0.163963,0.138426,0.143535,0.0989045,0.272962,0.276198,0.462793,0.17327,0.0829902,0.193082,0.16038,0.211232,0.13043,0.265652,0.166315,0.182297,0.184767,0.414473,0.123395,0.122327,0.0957076,0.0760669,0.190156,0.168269,0.0843399,0.0900786,0.596596,0.0674183,0.0995209,0.0817331,0.12094,0.43916,0.410374
GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0991842,0.109936,0.108138,0.131502,0.0910293,0.0788289,0.264585,0.0894009,0.12797,0.187847,0.0690459,0.0407273,0.269655,0.0948779,0.212993,0.082602,0.106762,0.0799325,0.0575016,0.0359277,0.34871,0.182192,0.0603272,0.0676177,0.0459565,0.0457782,0.116905,0.0446866,0.0265215,0.173122,0.109526,0.109354,0.0928838,0.0566333,0.191204,0.216824
GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.528511,1.14879,0.353936,1.17302,0.516063,0.563283,0.446584,0.382914,0.915647,1.50615,0.752063,0.281844,0.626642,0.630875,0.727949,0.372056,1.87567,0.690558,0.672111,0.648202,1.70432,0.454651,0.733647,0.40595,0.326335,0.519553,0.711181,0.323479,0.173625,0.486246,0.124033,0.210382,0.199338,0.334247,0.505826,0.273492
GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.31116,0.366713,0.224495,0.448092,0.360543,0.201409,0.606187,0.268786,0.542603,0.577638,0.1796,0.155759,0.466942,0.334453,0.408361,0.199201,0.495799,0.367994,0.322917,0.274344,1.01976,0.856117,0.246516,0.378984,0.360527,0.245127,0.383572,0.225157,0.233413,0.551181,0.143938,0.297698,0.287741,0.158895,0.594711,0.545558
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.140807,0.186771,0.201534,0.128508,0.114644,0.162522,0.164468,0.164902,0.187983,0.378147,0.162824,0.163545,0.176442,0.19232,0.21663,0.150504,0.257971,0.0754335,0.213163,0.130016,0.213654,0.0810467,0.0993774,0.121752,0.0798801,0.184064,0.278923,0.123432,0.101085,0.211371,0.106948,0.174913,0.0961323,0.179451,0.340035,0.18218
