glycan,healthy_1A,healthy_2A,healthy_3A,healthy_4A,healthy_5A,healthy_6A,cancer_1B,cancer_2B,cancer_3B,cancer_4B,cancer_5B,cancer_6B
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.266100229,0.01939881,0.04591502,0.004375844,0.013553363,0.022518029,0.507015806,0.011173173,0.070059148,0.035550149,0.012901575,0.105683759
Fuc(a1-2)[Neu5Ac(a2-3)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.151825671,0.008817815,0.008617549,0.005002587,0.011995352,0.015637848,1.388127012,0.009622575,0.014577674,0.032281771,0.03286176,0.086852968
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,5.831438066,35.75337141,22.84563073,33.06194541,8.07353638,19.09552524,0.70315617,23.83701544,11.29672319,2.524641552,8.15733682,0.759013522
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,1.492135405,0,0,0,0,0,0.129614865,0,0,0,0,0
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(a1-4)Gal(b1-3)]GalNAc,2.32895797,0.179318692,1.027119595,0.104644464,0.534599901,0.930362395,0.370218812,0.232582964,0.90558781,0.341672134,1.5967193,1.295307729
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.741782708,0,0.707049179,0,0.449414352,0.614990053,0.334410186,0,1.25981554,0,0.821085615,0.533432001
HexNAc(?1-?)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,1.534782575,0.710587682,3.199590162,0.458213069,1.529558665,1.215588292,0.006414302,2.221988155,7.256648399,0.469246016,2.373773882,0.30897805
Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,1.123629673,0.374023639,0.326579519,0.61301719,1.672270465,0.625270478,0.46053147,0.805315592,0.736180432,0.346992257,2.785426393,1.696676966
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.248257117,0.082137764,0.041938431,0.597589604,0.517021078,0.235274096,0.086680949,0.103422974,0.060435326,0.015904421,0.638754263,0.3423846
Fuc(a1-2)Gal(b1-4)GlcNAc6S(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.455904257,1.598087246,0.8132717,0.208318795,0.170333583,0.119735386,0.02407949,0.430395707,0.898159627,0.067687234,0.677320283,0.13248771
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)]Gal3S(b1-3)GalNAc,0.901451681,1.247689982,0.61301719,0.024022363,0.025892541,0.063530965,0.010230049,0.176503097,0.567421204,0.052686275,0.179511705,0.102955114
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)[GalNAc(b1-4)GlcNAc(b1-6)]GalNAc,1.525024825,0,0.674818533,0,1.436809371,0.862720013,0.885144643,0,0.570965206,0,0.325010833,1.378870003
