glycan,SC_160320_EC_2_NG,SC_300620_EC_5_NG,SC_300620_EC_32_NG,SC_300620_EC_34_NG,SC_300620_EC_37_NG,SC_160320_EC_39_NG,SC_160320_EC_42_NG,SC_160320_EC_43_NG,SC_160320_EC_45_NG,SC_160320_EC_55_NG,SC_160320_EC_64_NG,SC_300620_PA_51_NG,SC_300620_PA_56_NG,SC_300620_PA_63_NG,SC_300620_PA_71_NG,SC_300620_PA_83_NG,SC_300620_SA_9_NG,SC_300620_SA_11_NG,SC_300620_SA_15_NG,SC_300620_SA_23_NG,SC_300620_SA_27_NG,SC_300620_SA_38_NG,SC_300620_SA_44_NG,SC_300620_SA_49_NG,SC_300620_SA_60_NG,SC_300620_SA_62_NG,SC_300620_SA_81_NG,SC_160320_SV_8_NG,SC_160320_SV_47_NG,SC_160320_SV_57_NG,SC_160320_SV_69_NG,SC_160320_SV_75_NG,SC_180320_HV_9F_NG,SC_300620_HV_11F_NG,SC_300620_HV_14F_NG,SC_300620_HV_18F_NG,SC_300620_HV_21F_NG,SC_300620_HV_22F_NG,SC_180320_HV_24F_NG,SC_180320_HV_26F_NG,SC_180320_HV_30F_NG,SC_300620_HV_35F_NG,SC_300620_HV_41F_NG,SC_180320_HV_49F_NG,SC_300620_HV_52F_NG,SC_180320_HV_59F_NG,SC_180320_HV_64F_NG,SC_300620_HV_79F_NG,SC_180320_HV_87F_NG,SC_180320_HV_89F_NG,SC_300620_HV_90F_NG,SC_180320_HV_1M_NG,SC_300620_HV_2M_NG,SC_180320_HV_6M_NG,SC_300620_HV_8M_NG,SC_180320_HV_10M_NG,SC_300620_HV_12M_NG,SC_180320_HV_28M_NG,SC_180320_HV_34M_NG,SC_300620_HV_39M_NG,SC_180320_HV_44M_NG,SC_180320_HV_45M_NG,SC_180320_HV_46M_NG,SC_300620_HV_57M_NG,SC_180320_HV_70M_NG,SC_300620_HV_72M_NG,SC_180320_HV_73M_NG,SC_300620_HV_77M_NG,SC_180320_HV_88M_NG,SC_300620_HV_92M_NG,SC_300620_ HV_100M_NG
GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.123579093,0.069416905,0.08173914,0.075782407,0.058790863,0.048487117,0.04761421,0.030289536,0.034544041,0.027583141,0.053100762,0.198975339,0.10500882,0.220105776,0.264280255,0.141027742,0.078966302,0.088957403,0.088349239,0.035554197,0.219206792,0.058464348,0.06323616,0.078307049,0.092406095,0.118117186,0.143636124,0.047946546,0.035902288,0.04233765,0.02053908,0.069054557,0.083364791,0.102727346,0.047234918,0.066343169,0.030262266,0.049129056,0.092650357,0.055852101,0.063351777,0.036902886,0.077779328,0.080995512,0.060435218,0.049832633,0.063141025,0.02916492,0.100020638,0.089290762,0.07066046,0.071852814,0.094019501,0.086340818,0.057824275,0.091435631,0.085586203,0.096284,0.02701165,0.087311591,0.077040214,0.09195438,0.081771355,0.074296902,0.077945541,0.089036378,0.075925808,0.083705701,0.097522806,0.057307197,0.066595694
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.875774768,0.420757894,0.742662093,1.520188624,0.99402886,1.047709369,0.592738384,0.628628732,1.171262331,1.972829831,0.636599951,0.823446028,0.537343173,1.729445193,0.645787723,0.536277312,2.006932788,1.592639684,0.992284198,1.214310075,1.277660407,1.456479924,1.631099223,1.108232052,1.267698979,0.755231206,0.833232895,0.54312314,0.222955244,0.57983612,0.473356751,0.574359541,0.442422499,0.78015517,0.536932793,0.466361469,0.350144518,0.57849642,0.605470969,0.502201145,0.526058264,0.495404015,0.631383469,0.482579308,1.078269612,0.713740366,0.657262216,0.515827906,0.671712324,0.61320609,0.654992068,0.417207897,0.530257847,0.522806207,0.630056719,0.492823785,0.737542608,0.580253265,0.424935215,0.572386574,0.491671172,0.591366404,0.518018816,0.597839255,0.56792095,0.818635554,0.681110238,0.73046509,0.559985757,0.587757908,0.568359956
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.091476678,0.200047786,0.310236198,0.158992031,0.042967757,0.06206348,0.06203395,0.052969408,0.065758969,0.071509242,0.093110252,0.102152972,0.143373204,0.79924656,0.163911097,0.084048488,0.120862717,0.23593116,0.117550682,0.138886426,0.184935256,0.324837129,0.398882515,0.167401603,0.272862276,0.253272154,0.217468281,0.068706593,0.052449591,0.050970285,0.067897559,0.040693107,0.075599826,0.175266081,0.108250113,0.093924018,0.122005692,0.159834928,0.127589019,0.100725018,0.127387694,0.088312302,0.208442208,0.125320671,0.251982735,0.073900933,0.130947902,0.100428147,0.082552232,0.080986113,0.191294596,0.122927657,0.104908944,0.158806129,0.146508242,0.093569014,0.143786131,0.122126426,0.53603046,0.067582768,0.107165111,0.086410341,0.095079689,0.120839121,0.070540864,0.122315857,0.10919246,0.14097303,0.070735054,0.142356748,0.097011385
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.136167991,0.148802129,0.141400135,0.064198636,0.222696701,0.157708313,0.200063495,0.104694232,0.163751422,0.057084534,0.143695104,0.521829697,0.167220663,0.253911603,0.183838086,0.25100901,0.387317663,0.236064894,0.144386688,0.087195529,0.114993051,0.172296899,0.094730782,0.180432199,0.247004661,0.388110035,0.175079034,0.133820011,0.233310376,0.089333869,0.05842772,0.131857188,0.108816723,0.448833375,0.122462814,0.289602341,0.245812093,0.222352833,0.23196825,0.169147743,0.119667161,0.248571295,0.204844835,0.275578292,0.090044135,0.13112642,0.120910905,0.140748644,0.126943688,0.324676069,0.632265016,0.168857815,0.091105994,0.273759576,0.349890831,0.252444495,0.290502496,0.232849131,0.205163972,0.334169489,0.198250974,0.156731539,0.148498654,0.169744262,0.211529977,0.106687131,0.219223741,0.093795627,0.195922034,0.139344278,0.136992857
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,3.789139164,2.846131349,2.311915748,2.509832709,3.723892115,5.520256018,3.334379592,3.095374632,1.718318166,2.68131889,4.392595941,10.27187997,4.468455464,3.785077135,9.813326451,5.979948578,2.822376415,4.747327627,5.245184723,2.666836473,8.288082212,3.296895959,1.642668808,2.244366165,4.1384823,6.364120355,6.542221914,1.555953215,2.995895203,2.496280139,1.150392765,2.673022581,5.109108848,3.34160081,1.833411673,2.768431554,1.422671747,1.573484992,4.293515975,2.788620714,2.252965691,2.260387063,2.582098484,4.50372011,1.16814047,3.123586126,4.038326078,1.604246627,4.026412416,3.966629545,4.553754678,6.004992179,3.371989868,3.08985877,2.875714376,3.750010556,2.760598969,2.621308492,2.055009619,3.48410255,2.310475413,2.406686821,2.894100715,3.48428516,4.250699867,3.706973917,3.899174707,2.966923975,3.933133853,2.599479952,3.589776164
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.125353936,0.137689426,0.204365237,0.309862642,0.339529533,0.114084393,0.151872385,0.178239435,0.18488225,0.028739028,0.087168935,0.313600332,0.243627644,0.586760299,0.237775312,0.279846453,0.421675847,0.201398467,0.252615009,0.202594363,0.286943368,0.205124129,0.277168892,0.237443921,0.262518157,0.397975034,0.365535414,0.130729944,0.27198105,0.131977733,0.086645652,0.089064002,0.262749781,0.379695271,0.306584839,0.380014043,0.279265144,0.299598673,0.256006363,0.184308635,0.253008303,0.305111811,0.319916202,0.398254815,0.907978906,0.167928088,0.162454107,0.300650766,0.377364005,0.41685502,0.444855896,0.135912787,0.221052307,0.460507755,0.450222653,0.29014931,0.426213817,0.464462579,0.391065753,0.385369938,0.415929876,0.294660313,0.375542442,0.257963347,0.380663435,0.25401466,0.299792441,0.169352826,0.319532141,0.245589511,0.171469297
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.58337981,2.797061733,2.225863541,1.405845989,1.36136106,2.903422649,2.213527171,2.201592833,0.575812717,0.93292674,2.195606159,3.776530037,7.866225603,3.086045649,8.405048785,4.322437225,1.782412182,1.526393752,2.424877326,1.598498942,2.474831568,1.565990857,1.088864274,2.296694805,1.728716157,1.963952084,2.94438268,0.608553079,2.659098012,1.891692627,0.521812111,0.924552539,4.804200639,1.386493082,1.094876951,2.194797895,1.71062638,1.600530709,2.3295826,1.354391789,2.590707065,2.073457026,2.447051374,2.110273914,1.327787961,2.003199623,2.696931235,1.518108952,2.331914884,2.781463798,2.307449979,2.926137708,1.731746403,2.53422543,2.745530711,3.34864076,2.252478995,2.918358157,3.290949956,2.812928887,2.817073117,2.159556514,2.138898461,2.466240605,2.049470293,2.977888644,2.074038979,2.28887065,2.642860567,2.924427602,2.147287462
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.284896595,0.88644368,0.473154651,0.145226013,0.368658479,0.527425245,0.608236258,0.426429198,0.245029015,0.244158879,0.528070265,1.547253485,1.096816414,0.936691372,2.048376483,0.834014323,0.860737121,0.673144369,0.806911842,0.595882123,0.703631954,0.251520642,0.200664858,0.33185155,0.659590804,0.950823402,0.959255664,0.295200928,0.67296345,0.716769235,0.294509158,0.417023905,1.96395799,0.491841913,0.658445753,0.745541712,0.800134135,0.78013019,1.111022756,0.656855346,1.02638252,0.647350958,0.849069077,1.077618156,0.418827151,1.228438056,1.019411961,0.515608742,1.260633403,0.92217855,0.499003556,1.318970058,0.506108904,1.184546822,0.514453145,0.834041197,0.705175522,0.774926814,0.848152698,0.824741854,1.138237534,0.769463365,1.481454138,0.506273216,1.452514704,0.691461121,0.991365862,0.624860581,1.239336477,0.602502213,0.478319573
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.132406507,0.082710682,0.313420306,0.778417865,0.439692655,0.052476056,0.054578085,0.125471586,0.125565226,0.094184904,0.056456314,0.199301908,0.182026043,2.756866985,0.446386308,0.288430579,0.647488643,0.585960131,0.352220181,0.32199553,0.33946177,0.521302921,0.567041719,0.388152835,0.714430774,0.452148518,0.487440103,0.101447579,0.04841341,0.083247197,0.110629466,0.110136958,0.054370334,0.294575605,0.230191801,0.216205399,0.20541323,0.30839896,0.115818191,0.128260462,0.09179921,0.214661704,0.279700618,0.110070553,0.554463169,0.116945648,0.120971019,0.175215587,0.138654,0.114271457,0.236940622,0.083764224,0.19258894,0.179264607,0.327416258,0.077202622,0.341155173,0.205900089,0.136258039,0.256810376,0.162198663,0.210498277,0.165371587,0.397431811,0.111540696,0.418040709,0.141225496,0.414949632,0.082747104,0.319177622,0.240884545
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.43827295,0.50912608,1.753034109,2.189417312,1.525760921,0.593704133,0.737313423,0.646396223,0.945586868,0.587543084,1.333252197,1.370107853,0.710850711,3.970581034,1.554376731,0.987510071,2.6957318,1.470855702,0.974595065,1.170962026,1.567004126,1.291662328,1.712535667,1.013655116,1.455852418,1.352226069,1.568347642,0.732811923,0.69267134,1.29372587,0.763806522,0.59326738,0.578793211,0.761368907,0.959854441,0.891519654,1.002207535,0.691575165,0.973094192,0.688975195,0.71706324,0.761569883,0.948601098,0.841202326,1.175619527,1.259528295,1.223725919,0.599322852,1.358499419,0.770389752,0.909179937,0.864989472,1.044088376,1.206336709,1.175470411,0.699517955,1.348772866,1.069305784,0.887162241,1.099101163,1.008721196,1.301471777,1.091619056,1.504047959,1.013435433,1.931914411,1.240912601,2.036471512,1.078767717,1.216228822,0.98717314
