glycan,Az_1,Az_2,Az_3,Az_4,Sp_1,Sp_2,Sp_3,Sp_4,Ge_1,Ge_2,Ge_3,Ge_4,Se_1,Se_2,Se_3,Se_4
GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.505041173,0.596307872,0.644756676,0.560020524,0.20978837,0.352986414,0.336740088,0.32988974,0.339837195,0.439314745,0.457195551,0.354806905,0.481398179,0.513962493,0.629394634,0.474106547
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.241325226,0.121588027,0.303253484,0.11230055,0.086136275,0.124459296,0.129118509,0.108707246,0.180774884,0.159490838,0.23646367,0.142804091,0.370824292,1.085548998,0.460231252,0.731224606
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,4.731561351,3.337787442,3.804347252,3.263298798,0.834117586,0.500782227,0.823360843,0.381496031,0.987279387,0.76531585,0.899298895,0.663834383,0.484076649,0.534155177,0.616263002,0.5930512
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.254260758,1.328226959,0.848037412,0.5593666,0.294205384,0.181486352,0.289220546,0.167486456,0.440381365,0.281767559,0.158091108,0.145837747,0.250853062,0.271974011,0.245731283,0.526700605
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.391050668,1.103882811,1.529101759,1.21564474,0.913428136,0.681235735,0.891065134,0.558019235,1.190212815,1.256019748,0.950494029,1.09025909,1.091347771,0.85829025,0.977857222,1.130392221
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.326812127,0.484659653,0.346632706,0.493058706,0.311321015,0.278432987,0.267782696,0.474574543,0.245090624,0.2996442,0.204045494,0.440952254,0.137358584,0.383539604,0.217945149,0.324532696
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.110812327,0.103159086,0.140206713,0.120692575,0.081254342,0.058021528,0.087999608,0.07322187,0.104960138,0.111481409,0.292298154,0.087126056,0.373714618,0.421132797,0.298357672,0.449481584
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,13.06047451,13.55752167,11.90750157,14.37165858,5.187980054,3.482414073,4.424121008,3.190948599,4.86515556,5.036075161,5.119398832,5.580814223,3.16448331,4.353283759,3.326971399,3.30017577
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.989567663,1.541798503,1.840334487,2.29196007,0.746332617,0.381247327,0.673983874,0.362647955,0.922430234,0.566469165,0.496152728,0.460056436,0.443037046,0.478190282,0.538521743,0.497464794
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.322817666,0.29830169,0.228316141,0.091265995,0.046144204,0.049883485,0.04046778,0.041004247,0.106744015,0.119639793,0.202661326,0.138698196,0.166973077,0.080689805,0.057194998,0.105618798
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.200239342,0.172415368,0.036539871,0.210389152,0.391080626,0.323430449,0.311174378,0.452967031,0.546758111,0.470970266,0.928375974,0.549000071,1.136231054,0.822598972,1.158329786,0.703407517
