glycan,5d_1,5d_2,5d_3,5d_bu_1,5d_bu_2,5d_bu_3,7d_1,7d_2,7d_3,7d_bu_1,7d_bu_2,7d_bu_3,14d_1,14d_2,14d_3,14d_bu_1,14d_bu_2,14d_bu_3,21d_1,21d_2,21d_3,21d_bu_1,21d_bu_2,21d_bu_3,24d_1,24d_2,24d_3,24d_bu_1,24d_bu_2,24d_bu_3
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,1.25,1.41,1.87,1.56,0.99,1.31,1.65,1.04,1.40,0.92,0.67,1.00,0.63,0.67,0.81,0.72,0.74,0.58,0.79,0.91,0.83,0.00,0.00,0.00,0.60,0.65,1.00,0.00,0.00,0.00
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,4.45,4.10,3.31,5.43,5.29,4.28,5.26,5.31,4.43,7.05,5.59,7.17,7.75,7.91,7.39,7.02,6.57,8.42,6.30,5.64,4.85,8.63,7.63,8.12,6.17,6.13,5.81,6.23,7.86,7.01
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,9.33,7.94,8.51,9.18,9.40,10.28,9.28,9.39,9.73,10.98,12.12,12.51,9.44,8.21,8.61,9.41,9.26,8.99,9.47,10.34,10.83,9.95,9.50,10.87,8.01,9.44,8.90,11.79,10.18,11.50
{Neu5Ac(a2-3)}Gal3/6S(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,1.31,1.31,0.00,2.07,1.93,2.00,1.52,1.00,1.21,1.77,1.47,1.21,0.65,0.50,0.71,0.00,0.75,0.61,0.24,0.52,0.42,0.41,0.45,0.38,0.00,0.35,0.44,0.51,0.00,0.41
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,1.01,0.41,0.63,0.86,0.95,1.24,0.91,0.00,1.07,1.03,0.85,1.09,0.63,0.76,0.66,0.79,0.75,0.84,1.02,0.72,0.00,0.59
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,6.62,7.51,7.68,10.00,8.07,10.14,8.03,8.24,8.71,10.69,10.17,10.32,7.88,7.18,7.66,9.44,10.83,10.86,7.37,9.26,9.07,11.28,11.64,10.81,9.01,9.87,9.04,12.60,11.31,12.83
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.74,0.96,0.00,0.00,0.00,1.00,0.79,0.85,0.87,0.79,0.75,0.68,0.54,0.35,0.88,1.13,1.17,0.44,0.46,0.44,0.53,0.61,0.45
{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.63,0.56,0.73,1.40,0.98,0.00,0.00,0.00,0.92,0.35,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.45,0.83,0.84,0.56,0.18
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.38,0.49,0.00,0.00,0.00,0.78,0.59,1.22,0.71,0.72,0.94,0.72,0.63,0.74,0.38,0.50,0.71,0.76,0.40,0.94,0.00,0.27,0.27
Hex4HexNAc4NeuAc2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.48
Hex4HexNAc4NeuAc2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.49
Hex4HexNAc4NeuAc3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.52
Hex4HexNAc4NeuAc3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00
Hex2HexNAc3NeuAc1,0.00,6.27,2.67,0.00,0.00,0.00,2.43,2.62,0.82,1.28,2.31,2.61,1.84,2.99,2.09,3.36,1.02,3.21,1.44,1.60,0.93,1.35,0.78,0.89,1.57,0.88,2.18,1.86,2.37,1.65
Hex3HexNAc3NeuAc2,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.12,1.11,1.86,1.19,0.99,0.28,0.88,1.25,0.92,1.37,1.33,0.68,1.01,0.90,1.05,0.89,1.44,1.10,0.90,0.58,0.99,0.86,0.94
