glycan,NG-124 Li,NG125 Li,Adult NG Hexa (or HA) Li,Adult NG HexaNeu3 (or HAN3) Li,Adult NG Hexa (or HA) Stv,Adult NG HexaNeu3 (or HAN3) Stv,Fibroblast Hexa (or HA) Non,Fibroblast HexaNeu3 (or HAN3) Non,Fibroblast Hexa (or HA) Li,Fibroblast HexaNeu3 (or HAN3) Li,Fibroblast Hexa (or HA) MLSA-1,Fibroblast HexaNeu3 (or HAN3) MLSA-1,Fibroblast Hexa (or HA) Stv,Fibroblast HexaNeu3 (or HAN3) St
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,4.133969213,3.551836711,4.801254787,5.034131949,4.323324546,4.126640245,8.42271729,4.147955162,4.338015558,3.372553667,3.122084974,2.726016499,3.865737538,3.583190385
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,3.07491133,1.044933234,2.47060035,3.169010485,2.60047997,2.774595394,0,3.227346882,0,2.253412286,1.536331069,1.440529403,2.105424904,2.552832068
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0.301022784,0,0.513782059,0.172688507,0.446310043,0,0,0.471395293,0,0.295522529,0,0.582416272,0
Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0,0,,0,0,0,0,0,0.012587301,0,0,0
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.58443001,0.665606253,0.703017429,0.635182996,0.743885263,0.512965321,0,0.625362794,0.346527825,0.468545656,0.274017445,0.336150375,0.264790389,0.602437424
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0,0.622049717,,0.596519273,0,0,0,0,0,0,0,0
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0.547025638,0,0,,0,0.434960591,0.663906297,0,0.532678853,0,0.387801193,0,0.744510879
GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0.023319918,0.05076518,0.0430626,0.052083538,0,0,0,0,0,0,0,0,0
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0.038814337,0,0.098316424,0.058930132,0.052771047,0,0,0.065318033,0,0.026913439,0,0,0
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.598815271,0.93173078,0,0.36955671,0,0,0.530193129,1.036992088,0.584105485,0.517308653,0.288117972,0.327451219,0.202986028,0.567037867
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0.176832048,0,0.163462528,0.117280057,0,0.093561736,0.28295559,0.134113328,0.158526157,0.117760063,0.155599151,0.141808466,0.232134642
GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0,0,0.525944968,0,0,0,0,0,0,0,0,0
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc,0.086348204,1.554611775,2.666490119,1.780640983,1.953219022,2.601626361,1.695315022,4.128037655,1.24472924,1.173242905,0.894877827,1.16594717,1.273983062,1.888442649
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,1.02966754,0.344104248,0.726059158,0,0.386952985,0.329558872,0.969626732,0.417003785,0.360617509,0.272187609,0.394353197,0.346018237,0.649088373
