glycan,WT1,WT2,WT3,WT4,KO1,KO2,KO3,KO4
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2508,0.2468,0.2589,0.2743,0.3286,0.2361,0.3540,0.2762
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0357,0.0137,0.0299,0.0282,0.0479,0.0185,0.0535,0.0304
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0735,0.0783,0.0588,0.0663,0.1276,0.0901,0.0745,0.0792
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1484,0.1608,0.1399,0.1895,0.1547,0.1502,0.0927,0.0944
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0990,0.1751,0.1403,0.1289,0.1169,0.0944,0.1308,0.0989
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1125,0.0851,0.1372,0.0888,0.0995,0.0982,0.0793,0.0886
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.3159,0.3538,0.3424,0.4706,0.4313,0.3066,0.2207,0.3607
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.7549,0.9076,0.7575,1.2300,1.4217,0.7893,0.8175,0.8550
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1091,0.0844,0.0696,0.1094,0.0655,0.0699,0.0492,0.1187
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2234,0.2930,0.2629,0.1711,0.1997,0.2068,0.2495,0.2242
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[GlcNAc(b1-2)[GlcNAc(b1-46)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2286,0.2616,0.2097,0.2555,0.2548,0.2648,0.3131,0.3026
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[GlcNAc(b1-2)[GlcNAc(b1-46)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2105,0.1784,0.1998,0.1831,0.1787,0.1516,0.1975,0.1295
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[GlcNAc(b1-2)[GlcNAc(b1-46)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0262,0.0157,0.0239,0.0393,0.0257,0.0197,0.0135,0.0384
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1847,0.1524,0.1826,0.2021,0.1813,0.1622,0.1845,0.1618
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2541,0.2837,0.2530,0.2927,0.1898,0.2326,0.2647,0.2391
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1545,0.1153,0.1432,0.1835,0.1632,0.0937,0.1367,0.0680
Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0696,0.0450,0.0707,0.0862,0.1029,0.1273,0.0686,0.0619
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0908,0.0519,0.0639,0.0908,0.0528,0.1175,0.1063,0.0591
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0666,0.0830,0.0574,0.0602,0.0689,0.0360,0.0613,0.0585
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0298,0.0352,0.0399,0.0153,0.0404,0.0449,0.0568,0.0086
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0207,0.0268,0.0475,0.0434,0.0381,0.0171,0.1018,0.0293
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0359,0.0135,0.0272,0.0410,0.0916,0.0323,0.0649,0.0393
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0802,0.0773,0.0601,0.1221,0.2021,0.1021,0.1189,0.1058
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0352,0.0149,0.0194,0.0215,0.0314,0.0162,0.0326,0.0579
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0984,0.0646,0.0873,0.0921,0.0799,0.1089,0.0518,0.0617
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0490,0.0673,0.0605,0.0822,0.0605,0.0995,0.0695,0.0549
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0270,0.0159,0.0337,0.0362,0.0452,0.0270,0.0073,0.0573
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0491,0.0559,0.0451,0.0533,0.0540,0.0470,0.0131,0.0981
Man(a1-2/3/6)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.4712,0.4175,0.3819,0.4010,0.4056,0.4437,0.3083,0.4528
Neu5Ac(a2-3/6)Gal(b1-3/4)[Neu5Ac(a2-3/6)]GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0609,0.0658,0.0658,0.0778,0.0572,0.0854,0.1278,0.0915
Neu5Ac(a2-3/6)Gal(b1-3/4)[Neu5Ac(a2-3/6)]GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0735,0.0851,0.0786,0.0765,0.0797,0.0899,0.0512,0.0800
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0379,0.0576,0.0276,0.0324,0.0520,0.0839,0.0604,0.0424
GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0629,0.0624,0.0607,0.0604,0.0598,0.0596,0.0503,0.0581
Man(a1-3)[GlcNAc(b1-4)][Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,4.7429,4.4780,4.4485,3.2312,3.7429,3.9979,4.1793,4.3782
GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.5361,0.5127,0.4451,0.4379,0.4472,0.5969,0.4096,0.4663
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0154,0.0210,0.0323,0.0517,0.0585,0.0312,0.0619,0.0444
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0308,0.0239,0.0422,0.0480,0.0244,0.0618,0.0558,0.0446
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0636,0.0620,0.0695,0.1047,0.0638,0.0706,0.0430,0.0780
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0350,0.0388,0.0396,0.0469,0.0384,0.0297,0.0055,0.0008
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0687,0.0715,0.0321,0.0746,0.0719,0.0822,0.0793,0.0561
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0327,0.0273,0.0263,0.0385,0.0109,0.0346,0.0478,0.0088
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0521,0.0408,0.0465,0.0573,0.0451,0.0559,0.0323,0.0524
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0554,0.0732,0.0714,0.0483,0.0653,0.0539,0.0279,0.0425
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2592,0.3057,0.2718,0.3170,0.2202,0.3325,0.2518,0.3137
Neu5Ac(a2-3/6)Gal(b1-3/4)[Neu5Ac(a2-3/6)]GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1038,0.0928,0.0744,0.1108,0.1070,0.0494,0.0676,0.0795
Neu5Ac(a2-3/6)Gal(b1-3/4)[Neu5Ac(a2-3/6)]GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1120,0.1324,0.0613,0.1149,0.0878,0.1164,0.0854,0.1010
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0399,0.0338,0.0429,0.0499,0.0345,0.0693,0.0672,0.0282
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0415,0.0448,0.0808,0.0493,0.0127,0.0703,0.0703,0.0558
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0762,0.0908,0.1011,0.0897,0.0856,0.0588,0.0478,0.0755
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0647,0.0566,0.0619,0.0531,0.0574,0.0379,0.0423,0.0676
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2266,0.3355,0.2430,0.2504,0.2179,0.2663,0.2516,0.2489
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0365,0.0866,0.0523,0.0673,0.0513,0.0296,0.0694,0.0574
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0393,0.0441,0.0647,0.0664,0.0602,0.0644,0.0962,0.0772
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0358,0.0137,0.0614,0.0373,0.0683,0.0244,0.1373,0.0757
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0987,0.0921,0.0864,0.1032,0.1226,0.1417,0.0189,0.0940
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0757,0.1011,0.0788,0.0825,0.0871,0.0766,0.0517,0.0616
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2411,0.2944,0.2534,0.2513,0.2150,0.2167,0.2152,0.2562
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1145,0.1613,0.1763,0.1536,0.1519,0.1656,0.0893,0.1404
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1351,0.0834,0.1221,0.1344,0.0918,0.1380,0.1455,0.1192
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1098,0.1626,0.1498,0.1681,0.1677,0.1387,0.1391,0.1689
Neu5Ac(a2-3/6)Gal(b1-3/4)[Neu5Ac(a2-3/6)]GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)[Neu5Ac(a2-3/6)]GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1350,0.1194,0.1315,0.1521,0.1038,0.1353,0.1492,0.1281
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0691,0.0727,0.0721,0.0581,0.0732,0.1271,0.0832,0.0676
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2486,0.1912,0.2147,0.1768,0.1912,0.2198,0.2222,0.1178
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0486,0.0502,0.0346,0.0393,0.0363,0.0661,0.0725,0.0690
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0308,0.0346,0.0156,0.0314,0.0266,0.0339,0.0214,0.0609
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0681,0.0608,0.0971,0.0655,0.0958,0.0813,0.0822,0.0627
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1193,0.1027,0.1613,0.0869,0.1390,0.0922,0.1510,0.1161
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0863,0.0844,0.0743,0.0996,0.0565,0.0855,0.0858,0.0755
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1106,0.0891,0.0974,0.1412,0.0995,0.0889,0.0985,0.1016
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0644,0.0969,0.0687,0.0605,0.0907,0.1001,0.0871,0.0543
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0743,0.1049,0.0879,0.1096,0.1226,0.0680,0.0630,0.0611
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1097,0.0813,0.1308,0.1217,0.1493,0.0860,0.1419,0.1070
