glycan,WT_1,ST3GAL1_1,ST3GAL2_1,ST3GAL3_1,ST3GAL4_1,ST3GAL5_1,ST3GAL6_1,ST3GAL1+2_1,ST3GAL4+6_1,WT_2,ST3GAL1_2,ST3GAL2_2,ST3GAL3_2,ST3GAL4_2,ST3GAL5_2,ST3GAL6_2,ST3GAL1+2_2,ST3GAL4+6_2,WT_3,ST3GAL1_3,ST3GAL3_3,ST3GAL4_3,ST3GAL6_3,ST3GAL4+6_3,WT_4
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,3.5990142,12.3286985,3.8298162,3.2042046,0.7896554,0.9040141,3.3953173,18.1877255,0.2622825,3.3901587,11.9495777,3.2225474,3.8837362,0.2643223,1.9382011,3.2735569,12.8596356,0.6360588,3.1695005,12.3293103,2.7531631,0.3774991,2.8539457,0.6261179,3.7978704
{Fuc(a1-2/3/4)}Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,3.0965195,3.7993799,4.2460994,0.9872388,2.781015,0.5168702,3.6018272,6.342848,2.3448287,2.5721607,1.7467864,1.0508107,2.0082581,0.4533308,0.4327038,3.4797261,5.3206333,4.4064444,2.6707396,3.1730724,0.8379117,0.7589905,2.0677882,3.6057143,4.1034197
{Fuc(a1-2/3/4)}Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.5673609,0.0221522,0.2552388,0.3309119,0.2877941,0.0716969,1.3576027,0.0985271,0.5289768,0.3910353,0.0198001,0.2433786,7.04E-03,0.3947709,0.0271247,0.0339354,0.1861687,0.3590273,0.3085361,0.240465,0.0492111,0.2512732,0.4682598,0.3634833,0.3570053
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,5.5948965,0.3340467,4.6569243,6.8326605,1.9440697,6.0807336,8.3626139,0.4022156,1.9425294,5.8346202,0.2892284,7.1586585,8.1358687,0.8970548,7.8725732,3.3977386,0.0628797,1.6424758,6.121635,0.4206065,7.6459287,1.3755182,7.6875222,1.314117,6.5228718
{Fuc(a1-2/3/4)}Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.182952,0.0209013,0.4357153,0.1347278,2.2860293,0.2430098,0.422307,0.0219882,3.087959,0.2553645,0.0534647,0.0676156,0.1951846,0.3460434,0.0350512,0.2858433,0.0257589,2.8161738,0.4014133,0.0141829,0.2211348,1.1708163,0.4048479,3.3533914,0.4703694
{Gal(b1-3/4)GlcNAc(b1-3)}Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.0173704,0.0159932,0.0200304,0.0151695,2.0405891,0.019808,0.0366034,0.0612008,4.0133883,0.0210912,0.0221506,0.0663062,0.0329773,0.0357964,0.0206585,0.0592281,1.0971912,4.8632376,0.0210988,0.0172291,0.0139984,0.0265786,0.0360728,1.4899715,0.0348415
{Gal(b1-3/4)GlcNAc(b1-3)}Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.4301426,0.2807545,0.2848042,0.0906162,0.2267038,0.0114709,0.6728662,0.2317323,0.3046173,0.5365366,6.05E-03,0.2244101,7.45E-03,0.0113593,0.0112556,0.0381862,0.3884922,0.6076805,0.289459,0.107625,0.0327193,0.1235338,0.3338447,0.6955186,0.6692493
{Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)}Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,5.60E-04,0.0145955,0.0158767,8.92E-03,0.1987732,0.018156,9.85E-03,4.72E-03,0.4468702,0.0238034,0.0112628,0.0166035,0.0155038,0.1161282,0.0167493,0.0268725,0.0139449,0.7553584,0.0185117,8.53E-04,8.59E-03,0.1908945,0.0100562,0.8102794,0.0167453
{Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-3)}Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.0164321,0.3158825,0.0136455,7.39E-03,0.1963728,0.0777926,0.2533913,0.1436768,0.1247156,0.0456975,0.0200894,0.0178108,0.0107324,0.0134611,7.59E-03,0.0213499,0.1704908,0.3042583,5.68E-04,0.0595675,6.82E-03,6.77E-03,0.1024808,0.0881077,0.0128507
{Neu5Ac(a2-3/6)}{GlcNAc(b1-3/6)}{GlcNAc(b1-3/6)}{Gal(?1-3/4)}{Gal(?1-3/4)}Gal(b1-3)GalNAc,0.1000714,0.2772148,7.88E-03,6.06E-03,0.0185745,0.0109462,0.2068402,0.1862204,0.1100602,0.0172091,0.1543728,0.014473,9.40E-03,0.0209429,7.07E-03,0.1045446,0.2899432,0.1261174,8.47E-03,0.1282397,0.2311047,6.53E-03,0.0158869,0.0303194,0.0132534
{Gal(b1-3/4)GlcNAc(b1-3)}{Fuc(a1-2/3/4)}Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,9.94E-03,6.48E-03,4.87E-03,7.77E-03,0.6759513,0.021179,2.66E-03,2.35E-03,1.4022072,0.0234645,0.0138127,0.0266494,0.0146479,0.0310489,5.46E-03,0.0126823,0.0175034,1.6774893,0.0122401,6.14E-03,0.0135515,2.85E-03,0.0141024,0.9693595,0.0182938
{Gal(b1-3/4)GlcNAc(b1-3)}{Fuc(a1-2/3/4)}Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.2151731,0.3569891,0.2053388,0.0380799,0.1500853,0.017662,0.3823969,0.3785509,0.1916794,0.243087,0.1916927,0.0194971,0.0922194,0.0277342,4.79E-03,0.3238789,0.3906834,0.3083998,0.3551839,0.1084737,9.24E-03,9.20E-03,0.1100983,0.4272317,0.5841909
H3N3S2,0.202351,0.0132958,0.0475313,9.50E-03,3.06E-03,0.1580919,0.2701131,0.0244562,0.0694239,0.0975362,0.0120612,0.0852447,0.0957321,0.0475255,0.0321174,0.0190327,8.61E-03,0.0626395,4.69E-03,3.52E-03,0.1954617,0.0170209,0.0683119,0.0477291,0.1347534
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.6208304,3.4285531,0.2837522,1.1244796,8.66E-03,2.3658105,2.6642663,4.1845384,0.0661596,1.172137,4.3908095,1.6905701,3.8878655,9.98E-03,1.9341786,0.6500917,3.5399154,4.03E-03,0.9488674,3.2069196,3.1168572,6.06E-03,1.0167117,7.75E-03,1.166282
Xyl(?1-?)Glc,0.5204662,0.4353049,0.7419869,0.7883005,0.4720998,1.1795671,0.6940625,0.2645598,0.5825397,0.4421143,0.8333574,0.9323194,0.4768697,0.680202,0.825646,0.6156185,0.3825375,0.6543461,0.5107053,0.8567066,0.6566963,0.8521826,0.7188387,0.5636209,0.6848173
Xyl(?1-?)Xyl(?1-?)Glc,26.7520346,25.7886747,37.6595972,35.9504119,27.1262468,37.1820961,17.9853053,12.1449131,20.7804906,20.2151977,29.1093476,37.3802482,28.345082,39.5847277,37.3090826,22.6147259,17.8477642,18.1344896,25.2578393,28.5413245,39.4089342,37.7094372,27.4280441,18.26445,18.7243479
{Fuc(a1-2/3/4)}Gal(b1-3/4)GlcNAc,0.3486693,0.2470695,0.2598612,0.0917008,0.3516301,0.2266243,0.255962,0.3475837,0.5220177,0.279923,0.1198148,0.1090161,0.3307107,0.2204269,0.3286453,0.8669537,0.3369325,0.4741188,0.3695823,0.1341034,0.2032638,0.2445095,0.2693392,0.2844701,8.29E-03
Gal(b1-3/4)GlcNAc(b1-?)Hex,0.0379407,0.1317711,0.0725921,0.0179866,0.6129743,0.0515285,0.1555993,0.0853001,1.0191284,0.0129449,0.0320931,0.0241849,0.0104466,0.3329977,0.0741518,0.0261985,0.1189659,1.1365715,0.0361588,0.0490914,0.0359518,0.2068921,0.0910708,0.8620619,0.0111143
Gal(b1-3/4)GlcNAc(b1-2)Man,0.0877913,0.0861562,5.77E-03,0.0306255,0.2238467,0.0691571,0.1381997,0.1103125,0.2298135,0.1227767,0.0195892,0.0910902,2.16E-03,0.06579,8.45E-03,0.1988785,0.1545026,0.2756552,0.1253311,0.1477296,1.30E-03,0.1576587,0.0993776,0.3082468,0.1162227
